	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Collinsella sp900766165	15.2981285209238	-24.3078042739845	1.82781355235859	-13.2988423477975	2.35079847728787e-40	7.07590341663648e-37
Collinsella sp900545165	12.6040882576979	-24.2502443239993	2.14153845891936	-11.3237491593946	1.00097494172291e-29	1.50646728729298e-26
Collinsella sp900751695	7.66387261417388	-23.5657790483775	2.17268031205472	-10.8464088884255	2.0741522799013e-27	2.0810661208343e-24
Collinsella aerofaciens_K	11.9161471403679	-24.162853403908	2.33570001227276	-10.3450157455778	4.40843823452925e-25	3.31734977148326e-22
Collinsella sp900752545	9.05930208118801	-23.7873903797835	2.35969267491691	-10.0807154391921	6.72347647264226e-24	4.04753283653064e-21
CAG-279 sp900544305	9145.21076188343	5.75956378028853	0.59055401673902	9.75281450474635	1.79423554963035e-22	9.00108167397894e-20
Collinsella sp900540935	7.90691984765433	-23.610146878478	2.62398002741613	-8.99783787673386	2.30206437188847e-19	9.89887679912042e-17
Collinsella sp900554495	11.8399718691004	-24.1609205092577	2.8359265391826	-8.51958616538129	1.60124441897622e-17	6.02468212639801e-15
Collinsella sp900540895	11.1027464682198	-24.0800050619126	2.84007842213269	-8.4786408974687	2.27839712041601e-17	7.61997259161354e-15
Desulfovibrio piger	2806.35645711759	7.3105120237961	0.881970056202341	8.28884379054126	1.14354610162723e-16	3.44207376589796e-14
Mesosutterella multiformis	30267.3768116455	-11.8454887405407	1.43112754114185	-8.27703220014169	1.26283084966364e-16	3.45556441589778e-14
COE1 sp001916965	18652.6655802304	-4.00732868452204	0.516211947428604	-7.76295222240335	8.2974876739279e-15	2.08128649154358e-12
Dialister hominis	4750.10215365389	-6.50709797611693	0.916715449335926	-7.09827458545693	1.26324014663508e-12	2.92488680105508e-10
Duodenibacillus sp900538905	2667.97499846698	6.73090405596105	0.953174062839613	7.06156862463182	1.64633402759741e-12	3.53961815933444e-10
CAG-83 sp003487665	12202.6564320423	4.30375043634908	0.629123061237638	6.8408721624074	7.87124755013348e-12	1.57949700839345e-09
CAG-882 sp003486385	2765.93122104537	-2.90399554583992	0.456573637718267	-6.36041003232835	2.01215884734603e-10	3.78537383156972e-08
NK3B98 sp900545815	936.940940238394	-3.05720323926494	0.501614817398971	-6.09472274985316	1.09627283943449e-09	1.94104779217519e-07
Klebsiella variicola	2405.48349212959	-3.98600841613216	0.662145870146418	-6.01983429308522	1.74595717274907e-09	2.89429291840888e-07
Eggerthella lenta	6470.36324892299	-3.05409321545288	0.507958220694809	-6.01248900209814	1.82696230730129e-09	2.89429291840888e-07
UBA7173 sp900548705	701.627456936111	-3.55953140736639	0.601462094022063	-5.91813090591179	3.25620763347819e-09	4.90059248838468e-07
Bacteroides salyersiae	23607.6790472065	2.3275690341414	0.412541798450358	5.64201989443134	1.6806667380467e-08	2.40895565786693e-06
Bifidobacterium dentium	932.010767882167	-3.26353823309758	0.581162213621369	-5.61553754976884	1.95952095492664e-08	2.6809809428769e-06
Collinsella sp900551665	390.354095852274	2.73267048253288	0.488898390526671	5.58944462792991	2.27796989589029e-08	2.98116929853468e-06
Desulfovibrio piger_A	285.6342787619	5.5545487386636	1.0306886066337	5.38916284017645	7.07866453381699e-08	8.74289022650616e-06
Eggerthella sinensis	112.876407798946	-2.44636561838805	0.454328314245937	-5.38457661932949	7.26153673297854e-08	8.74289022650616e-06
Eubacterium_G sp000434315	9156.83226811418	-2.60848421562	0.489429297810736	-5.32964460298556	9.84051426994295e-08	1.13922876740493e-05
Prevotellamassilia sp900546605	1364.25807423748	3.80239498163925	0.722627400939583	5.2619025748197	1.4257231252012e-07	1.58941726179838e-05
Bifidobacterium adolescentis	13342.1309972917	-3.85400262284237	0.75123055511418	-5.1302527521083	2.89353392180786e-07	3.11054896594345e-05
CAG-269 sp001916005	464.387617478154	-5.7251277670176	1.13966075276584	-5.02353683157315	5.07284908334095e-07	5.26526749684699e-05
CAG-83 sp001916855	37214.1183422124	-3.11213260268489	0.655440053191933	-4.74815749743868	2.05278157451248e-06	0.000205962417976086
Bacteroides clarus	39381.827881695	2.28022756842553	0.485931458510387	4.69248806285463	2.69902288244518e-06	0.00026206641536
CAG-83 sp003539495	3482.66253168327	-1.76224335335393	0.378259391214089	-4.6588224754915	3.18023309016422e-06	0.000299140675043572
Bifidobacterium ruminantium	2748.71435615448	-3.21410394366985	0.694235370462267	-4.62970352768067	3.66189645037166e-06	0.000334009342897536
Proteus sp003144505	383.414364362421	-2.77805908983163	0.610368434295446	-4.5514461982923	5.32784227293361e-06	0.000471670742397946
Sutterella sp900754475	168.337979623968	5.56319210973823	1.23234590232171	4.51431055132923	6.3523076983195e-06	0.000546298462055477
UBA9502 sp900770535	5253.43409502576	-1.8674679544654	0.414333200347887	-4.50716465129373	6.56996510222647e-06	0.000548206939750263
CAG-95 sp000438155	4120.49472130668	2.17239476174322	0.482563797985195	4.50177732107843	6.73875640224576e-06	0.000548206939750263
Brachyspira pilosicoli	224.34954591735	2.6814667445148	0.597363804959699	4.48883364249983	7.16141938351225e-06	0.000564480582863077
QALW01 sp900547955	123.771479159372	-4.60086334249518	1.02598364699486	-4.48434373780835	7.3138680171628e-06	0.000564480582863077
UMGS1484 sp900552285	862.482451750175	2.86116942473557	0.645799437001433	4.43043034850031	9.40452199231329e-06	0.000707690279921575
