	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CI_5	CI_95
1XD42-69 sp014287635	861.265265972851	0.234624810535854	0.372689794442756	0.629544500639371	0.528992644709149	0.803430694023595	-0.495833763977582	0.965083385049291
28L sp000177555	11.5248231053184	0.0646076284681159	1.77230642106299	0.0364539831827533	0.970920370400148	0.992013005738101	-3.40904912638443	3.53826438332066
43-108 sp001915545	1089.48889975709	0.0992264016367602	0.409719854254739	0.242181091802955	0.808639845572564	0.944503735226421	-0.703809756453527	0.902262559727047
51-20 sp001917175	152.170064167167	3.75018186883457	1.0354120687215	3.62192211402866	0.000292422171855053	0.00956729062264901	1.72081150498232	5.77955223268683
51-20 sp900539605	6.1608596949069	0.887018210118289	1.91834696955016	0.462386744524267	0.64380400334861	NA	-2.87287276005157	4.64690918028815
51-20 sp900542055	8.89890303462036	1.45302386402332	1.71943780569965	0.845057529389423	0.398078719400159	0.722021290724554	-1.91701230880458	4.82306003685122
51-20 sp900762565	10.8345055177504	2.21550545197826	2.1635992688697	1.02399066400853	0.305839684589544	0.64838928684449	-2.02507119198354	6.45608209594006
AF33-28 sp003477885	2327.86696517837	-0.215686522261258	0.243291892152274	-0.886533950446083	0.375329867815038	0.69996462337253	-0.692529868610317	0.261156824087802
AM07-15 sp003477405	4506.59514700733	-0.363685385237137	0.273235900660948	-1.33103074799978	0.183178893775066	0.521657100836691	-0.899217909815959	0.171847139341686
AM51-8 sp003478275	3027.74609262224	-1.38890105307636	0.458973250460847	-3.02610457511802	0.00247726608358381	0.0407462891343566	-2.2884720938469	-0.489330012305819
AM51-8 sp900546435	682.593869451505	0.268341401473468	0.264278223338358	1.0153746233185	0.309927284937467	0.65190854483702	-0.249634398167946	0.786317201114881
AM51-8 sp900761925	467.915509857204	0.599538436648675	0.439847849232704	1.3630586978987	0.172864012140986	0.506099115559834	-0.262547506524828	1.46162437982218
Absicoccus porci	12.2190907204812	-1.48241342193401	1.32495189248534	-1.11884320505653	0.26320703607512	0.609663499921806	-4.07927141245347	1.11444456858544
Absicoccus sp000434355	289.803545100313	-0.55420496279826	0.25423681300731	-2.1798769275098	0.0292665856252027	0.210244445660764	-1.05249995983683	-0.0559099657596867
Acetatifactor sp003447295	19639.7589097052	-0.117596850549294	0.503022885236525	-0.233780318949106	0.815155529440701	0.946977284298151	-1.10350358901231	0.86830988791372
Acetatifactor sp900066365	89479.6303725486	-0.936941658770055	0.522141103246254	-1.79442233707499	0.0727457842963638	0.33318076686602	-1.96031941598072	0.0864360984406121
Acetatifactor sp900066565	172543.353958392	-0.108863126219556	0.507189106006967	-0.214640111410557	0.830047918322826	0.952999407329782	-1.10293550734428	0.885209254905166
Acetatifactor sp900554205	718.378164874439	-0.46975699846203	0.346989345631919	-1.35380813381037	0.17579759801042	0.511751228250836	-1.14984361891971	0.210329621995652
Acetatifactor sp900755865	747.614757257959	0.369993027634131	0.369004017374358	1.00268021542641	0.316015178733587	0.658273832517715	-0.353241556570203	1.09322761183846
Acetatifactor sp900760705	464.307628239522	-0.0330914795379937	0.22683895527115	-0.145880937859364	0.884015379977127	0.972858237540526	-0.477687662160141	0.411504703084153
Acetatifactor sp900766575	4461.60397460202	-0.192773212671829	0.436107221742942	-0.442031690971301	0.658466273510806	0.877830865929694	-1.04752766068582	0.66198123534216
Acetatifactor sp900771995	6443.16440400863	-0.535480185871901	0.445138030611279	-1.20295312700324	0.228994459728748	0.573438705310757	-1.4079346940191	0.336974322275294
Acetatifactor sp900772845	9754.98529220241	0.123094800678246	0.480078247183998	0.256405703445813	0.797637584320111	0.941814822727055	-0.817841273563508	1.06403087492
Acetivibrio_A ethanolgignens	1187.68691322219	-0.128327292085328	0.202570414837801	-0.633494739042129	0.526410615322851	0.801870421114263	-0.525358009500756	0.268703425330099
Acetomicrobium hydrogeniformans	11.0704808202451	-1.52972379152292	1.25941647202773	-1.21462901708756	0.224507616541581	0.570749937322769	-3.99813471823376	0.938687135187918
Achromobacter xylosoxidans	19.7992980713991	-0.466983910703856	0.584497680173016	-0.798949125966804	0.424319911720764	0.739315454074876	-1.61257831289018	0.678610491482466
Acidaminococcus fermentans	121.49509612479	-0.0214698099717512	0.312015808901689	-0.0688100069266554	0.945140852594301	0.984106531866556	-0.633009558026193	0.59006993808269
Acidaminococcus fermentans_A	356.375104740714	-0.366338519843472	0.373068508090793	-0.981960449350811	0.326119333274783	0.665316182071865	-1.09753935946752	0.364862319780572
Acidaminococcus intestini	14.9569988512326	0.132683765151942	1.41914928613627	0.0934952837225344	0.925510096328863	0.978520954430409	-2.64879772436087	2.91416525466475
Acidaminococcus massiliensis	35.1884302429488	-1.10713991902376	0.831805959055428	-1.33100743865912	0.183186563317071	0.521657100836691	-2.73744964089819	0.52316980285068
Acidaminococcus provencensis	41.588561789841	-0.427876648586631	0.511481189792023	-0.836544250553208	0.402848793572915	0.724092113279496	-1.43036135934869	0.57460806217543
