	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Fusobacterium_A mortiferum	805.082990135366	5.37702743970286	0.535443445581931	10.0421949023188	9.94365227645838e-24	2.68677484509905e-20
Ruminococcus_E sp900314705	1200.75009873491	-3.02620320029185	0.378735514230743	-7.99028104464516	1.3463147941198e-15	1.81887128685585e-12
Duodenibacillus sp900538905	371.552214817003	4.95776598148771	0.630596011293622	7.8620319391447	3.77951626328074e-15	3.40408431446152e-12
Enterocloster sp900538485	1155.17886489218	2.52225253927502	0.332090665160002	7.59507208087224	3.07621152312404e-14	2.07798088387029e-11
CAG-495 sp001917125	690.34558684786	5.72284057727777	0.75810256608398	7.5489001532331	4.3894921570655e-14	2.3720815616782e-11
Fusobacterium_A ulcerans	701.705065104243	-3.88973035519809	0.517601579158297	-7.51491207102461	5.69491969651727e-14	2.56461216999828e-11
Dialister hominis	6187.51140913696	-4.18111271642847	0.576714248127255	-7.24988628251455	4.1712169335232e-13	1.61008973633996e-10
CAG-882 sp003486385	1770.15528272424	-2.18313553648177	0.306589185437125	-7.12071932142395	1.07365236878596e-12	3.10373661145843e-10
Desulfovibrio piger	217.337341318078	4.01199039478194	0.564715694101689	7.10444288459867	1.20808868126735e-12	3.10373661145843e-10
Coprococcus eutactus_A	8476.51309281339	-3.10380249050774	0.436964120325292	-7.10310605867859	1.21983718231777e-12	3.10373661145843e-10
Enterococcus_A raffinosus	309.864348427061	4.08469451399759	0.575451672334648	7.09824075656206	1.26354932368774e-12	3.10373661145843e-10
Enterococcus_D casseliflavus	191.610797475795	4.21789985536021	0.596041987744417	7.07651464508714	1.47825138459784e-12	3.3285293676528e-10
Sutterella wadsworthensis_A	2421.31863448074	5.26705058120271	0.747646325607153	7.04484246200958	1.85671453583568e-12	3.85910975063692e-10
Bacteroides fragilis_A	234654.507786813	-2.8188283937186	0.414747850733062	-6.79648704323929	1.07200942033922e-11	2.06897818125469e-09
Clostridium_P perfringens	1622.76341070008	2.64014476338199	0.389992500476302	6.76973213627838	1.29021044946901e-11	2.32409908964351e-09
Eubacterium_R sp900767025	215.421788484974	-2.7357048723849	0.419065617948478	-6.52810623256914	6.66064510159126e-11	1.12481644153122e-08
Collinsella tanakaei	221.650648041654	-2.7321720892618	0.430306081746588	-6.34936898444956	2.16199902411775e-10	3.43630668421539e-08
Negativibacillus sp000435195	311.472493865398	-2.50631221491856	0.400194685271875	-6.26273238290477	3.78289523985155e-10	5.6785460767105e-08
Acidaminococcus provencensis	162.655213631736	-3.36457673313522	0.539050017595831	-6.24167818070254	4.32900922180022e-10	6.15630679858116e-08
Ruthenibacterium sp900546885	912.562004584015	-2.44698720315555	0.396099513593919	-6.17770817478004	6.50387882471125e-10	8.7867402921849e-08
Holdemania sp900120005	1309.91743050827	-2.53777744514204	0.426386871720882	-5.95181890779062	2.65178699345429e-09	3.41196593157785e-07
Enterococcus_A avium	511.405780333017	2.10323978661547	0.354503811850818	5.93291162550477	2.97609061357125e-09	3.65518038084977e-07
Veillonella_A seminalis	119.664533062654	-4.35819458214946	0.739896343209104	-5.89027722889797	3.85548282136478e-09	4.34306587872508e-07
Prevotella sp900540415	399.966209537578	1.7030952388226	0.289141235129866	5.89018456000463	3.85764548813478e-09	4.34306587872508e-07
Lactonifactor sp009677585	839.354775152011	-1.75313294708515	0.300843587582487	-5.82739011049877	5.63008983016755e-09	6.08500108844508e-07
Sutterella wadsworthensis	205.849003037279	2.54914706637477	0.440299780055128	5.78957151887653	7.05662057022489e-09	7.33345722336448e-07
Collinsella sp900551665	162.240339636875	1.66777523882669	0.29062413928182	5.73859846242653	9.54632568026255e-09	9.5533970326183e-07
Parabacteroides goldsteinii	11159.4158208773	-1.97158694905712	0.351676000908853	-5.60625957973205	2.06745821614326e-08	1.99509717857825e-06
Prevotellamassilia sp900540885	578.719998809415	2.02711276310692	0.36427218265149	5.56482998057064	2.62408129024456e-08	2.44491987801407e-06
Gordonibacter pamelaeae	1017.64042973636	-1.99212521602526	0.361225246087543	-5.51491136791271	3.48955773409407e-08	3.14292833250739e-06
Phocaeicola sp900541515	2852.0093933625	1.55803721427602	0.284428597041664	5.47777976786135	4.30695712059583e-08	3.73987277396379e-06
Eisenbergiella sp003478085	3061.07940984844	-1.42332112439089	0.26007061863179	-5.47282554207341	4.42916094621915e-08	3.73987277396379e-06
Mitsuokella sp003458855	73.3180256691999	-2.94482910550242	0.547807897792937	-5.37566018556292	7.63025801119568e-08	6.24756277159113e-06
Intestinibacter sp900540355	1712.48434600137	-1.88394351699039	0.350967766843521	-5.36785338988222	7.96792805936217e-08	6.33215929894017e-06
Clostridium tertium	125.251179377536	2.14492681449082	0.400552311178701	5.35492307653641	8.55928227859085e-08	6.60776591907214e-06
Corynebacterium propinquum	150.476308351027	4.74566699014715	0.893141997151327	5.3134518422417	1.07567872801869e-07	8.07356645307361e-06
Sutterella parvirubra	97.738527539157	3.40094194930103	0.652050377543857	5.21576563165517	1.83059516579174e-07	1.33682922647818e-05
Phocaeicola sp900546095	2086.76396942335	1.32243001065803	0.253812640151544	5.21026064686316	1.885755182866e-07	1.34087118529051e-05
Duodenibacillus sp003472385	419.343605059254	3.96075765042	0.77073536479632	5.13893332436705	2.76302409142775e-07	1.89172151000216e-05
Monoglobus pectinilyticus	1384.74475596588	-1.67025856993086	0.325180626551246	-5.13640245928871	2.80047595855242e-07	1.89172151000216e-05
UMGS1537 sp900552695	562.908529211083	-1.33924678585846	0.261882449695864	-5.11392339354465	3.15535364052442e-07	2.07945500895048e-05
Coprococcus eutactus	2383.33633037854	-1.19783180994887	0.236336098113424	-5.06834046728653	4.01299122574848e-07	2.58169102189819e-05
Alistipes_A ihumii	3434.01484499363	-2.09758800538766	0.421057133429745	-4.98171824878406	6.30221511095478e-07	3.96013609995344e-05
Phocaeicola sp900066455	9953.06540750545	1.59337311295806	0.323280934549085	4.9287568262586	8.2754498361962e-07	5.05251239879028e-05
Bacteroides nordii	38590.6761503074	-1.59196894438058	0.323209810119	-4.92549698226808	8.41462094543162e-07	5.05251239879028e-05
Muricomes fissicatena_A	1778.87772979529	-1.37399920859264	0.279286947727176	-4.91966853365034	8.6690895682062e-07	5.09214782897677e-05
QALR01 sp900553085	270.805302443387	-1.38391495211978	0.282526352518495	-4.89835705513234	9.66413051073851e-07	5.55584694468414e-05
Collinsella intestinalis	154.642614432364	3.64610231730989	0.74792612831124	4.87494978353344	1.08836137243055e-06	6.12656755897365e-05
Ruminococcus_E bromii	28361.7132171392	-2.03504282733021	0.419444766324529	-4.85175401081456	1.22374347659791e-06	6.62118464658122e-05
Phocaeicola sp900066445	3236.64518307089	1.41229054364925	0.291103172125398	4.85151203725419	1.2252377214251e-06	6.62118464658122e-05
Bacteroides salyersiae	15817.7642482133	1.47998906719046	0.305598401008196	4.84292150190525	1.27943844324213e-06	6.71130488394162e-05
Phascolarctobacterium_A succinatutens	164.141103081307	1.28457860078491	0.265351591772531	4.84104350836568	1.29159087329743e-06	6.71130488394162e-05
UBA7173 sp900548705	325.346679124147	-2.56895676553596	0.532851406810766	-4.82115038583032	1.42732699802577e-06	7.27667462012381e-05
Eisenbergiella massiliensis	15793.4797808086	-1.99956996262889	0.415592052506742	-4.81137680705878	1.4989411518453e-06	7.50025739312223e-05
Fusobacterium_A varium	170.485316612327	-2.5572875096511	0.533639793036665	-4.79216044796606	1.64994865494102e-06	7.99653086555947e-05
CAG-95 sp000438155	2357.70837873155	1.59027252493226	0.332068827582757	4.78898467076357	1.67627283989199e-06	7.99653086555947e-05
UBA1191 sp900066305	675.044880495802	-1.3736441166384	0.286910148324975	-4.78771533407913	1.68690695535488e-06	7.99653086555947e-05
Citrobacter braakii	684.68129859211	2.24350558277501	0.477328980695078	4.70012438697532	2.60003072438079e-06	0.000121125569263395
OF09-33XD sp003481995	1325.19832839081	-1.24341213727908	0.265239060892018	-4.68789224745931	2.76033282542439e-06	0.000126413886344012
UMGS1491 sp900757335	568.168346308655	-2.31495769238332	0.494451754295476	-4.68186768935993	2.84272948178482e-06	0.000126983253325788
Lachnoanaerobaculum sp000296385	248.359952774972	1.33449772908763	0.285140411690297	4.68014239432707	2.86675738448299e-06	0.000126983253325788
Streptococcus thermophilus	6584.80486472628	1.97838876378516	0.426629243692566	4.63725539923561	3.53066044151524e-06	0.000151800198616607
Ruminococcus_E bromii_B	81665.681151787	-1.9829186821564	0.427653149042915	-4.63674519080278	3.53938286929914e-06	0.000151800198616607
