	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CI_5	CI_95
1XD42-69 sp014287635	641.551681668493	0.0558294581213878	0.258877103169533	0.215660085182684	0.829252716445659	0.949021956728577	-0.451560340512956	0.563219256755731
28L sp000177555	7.58119872975595	-0.181704373592686	1.28331890203565	-0.141589415775346	0.887404327688069	NA	-2.69696320226205	2.33355445507668
43-108 sp001915545	744.518126159114	0.288375962066323	0.302465132164607	0.953418861878543	0.340377888413988	0.66067203961602	-0.304444803555455	0.881196727688101
51-20 sp001917175	149.639873339492	0.215657472654853	0.848139645090911	0.254271185061438	0.799286059371819	0.938985191518291	-1.44666568558391	1.87798063089362
51-20 sp900539605	3.53141817842602	0.259942465023203	1.54893192993374	0.167820457438903	0.866724528039597	NA	-2.77590833215105	3.29579326219746
51-20 sp900542055	6.72967710245534	-0.174110934886863	1.34702363507532	-0.129256035568469	0.897155058066444	NA	-2.81422874595871	2.46600687618499
51-20 sp900762565	17.1122820051698	1.13490873034746	1.35084178157244	0.840149265316897	0.400824700552183	0.708324617980378	-1.51269251034646	3.78250997104137
AF33-28 sp003477885	1753.21564801747	-0.0616768959386858	0.176143174454168	-0.350152063114623	0.726224580254243	0.908660817488653	-0.40691117399141	0.283557382114038
AM07-15 sp003477405	2877.2500167573	-0.146306283405573	0.202065356499282	-0.724054266106187	0.469032420302534	0.761367099382901	-0.542347104667412	0.249734537856267
AM51-8 sp003478275	1227.20755633668	-0.138121541588826	0.244112762225202	-0.565810407984339	0.571522670445528	0.827863020720735	-0.616573763716812	0.340330680539161
AM51-8 sp900546435	648.926551027159	0.119776389678418	0.234604802550035	0.510545344240652	0.609669455622206	0.84602204910625	-0.340040573919781	0.579593353276617
AM51-8 sp900761925	235.430235835437	-0.055256850892364	0.28755459560849	-0.192161251241476	0.847615897241994	0.954095875734925	-0.618853501873983	0.508339800089256
Absicoccus porci	12.1596595134854	-1.56546853252211	0.844783504126392	-1.85310026163567	0.0638679893488886	NA	-3.22121377534339	0.0902767102991591
Absicoccus sp000434355	257.503426534353	-0.379521402110352	0.1974088902938	-1.92251423705142	0.0545410839107845	0.23692927448061	-0.766435717314219	0.00739291309351459
Acetatifactor sp003447295	10757.2212829442	0.354202835363682	0.374017160975415	0.94702295060457	0.343627084213171	0.662726896177007	-0.378857329748051	1.08726300047542
Acetatifactor sp900066365	42574.509556898	0.913425142209982	0.364209223520188	2.50796817659219	0.0121427602533346	0.0903686819995263	0.199588181273115	1.62726210314685
Acetatifactor sp900066565	89160.1622793751	0.0437971546472554	0.378218034811313	0.115798694446459	0.907812085236265	0.968884748604486	-0.697496571886434	0.785090881180945
Acetatifactor sp900554205	409.939320154528	-0.391738966385888	0.267488923628487	-1.46450537492151	0.143055915556813	0.424299762716255	-0.916007622961107	0.132529690189332
Acetatifactor sp900755865	451.670697441707	0.257314889312414	0.231990298386141	1.10916228438191	0.267360179663289	0.59310936408063	-0.197377740287123	0.712007518911951
Acetatifactor sp900760705	410.881250833126	-0.361912335197453	0.178403862985697	-2.02861266085066	0.0424977579802614	0.200050421711962	-0.711577481352238	-0.0122471890426675
Acetatifactor sp900766575	2447.57957747802	0.13418745321912	0.318386228615744	0.421461235313255	0.67341831214055	0.878861012316134	-0.489838088041275	0.758212994479515
Acetatifactor sp900771995	3556.24653165672	-0.0182507095450063	0.30292725218128	-0.0602478298455783	0.951958252164983	0.98030606895673	-0.611977213755998	0.575475794665985
Acetatifactor sp900772845	6512.44341579421	-0.237740504050453	0.374974312876868	-0.634018107071033	0.526069005251831	0.7981125503596	-0.972676652416769	0.497195644315862
Acetivibrio_A ethanolgignens	1060.72343538774	-0.0105054259791342	0.149394656571521	-0.0703199580240997	0.943938997621498	0.979252256221555	-0.303313572342046	0.282302720383777
Acetomicrobium hydrogeniformans	5.18974908085598	-1.0396401435421	1.19421612706673	-0.870562806831037	0.383992911845874	NA	-3.38026074234979	1.30098045526559
Achromobacter xylosoxidans	19.0227420271906	-0.21956822314039	0.392666913812541	-0.559171693404278	0.576044549639707	0.82931122274022	-0.989181232133464	0.550044785852684
Acidaminococcus fermentans	152.814813417148	-0.431837829683611	0.285571770841925	-1.51218668571639	0.130486377152402	0.406936215033414	-0.99154821553511	0.127872556167888
Acidaminococcus fermentans_A	328.160926856994	-0.540016345302453	0.252022371304701	-2.14273178411436	0.0321346416452655	0.167621238852331	-1.03397111635805	-0.046061574246859
Acidaminococcus intestini	45.9526636339862	2.4606658307965	0.708007190662496	3.47548141212239	0.00050993733054518	0.00769748976051998	1.07299723630262	3.84833442529037
Acidaminococcus massiliensis	234.476133842007	-2.07628800958094	0.599269016728098	-3.46470108018783	0.000530821138514793	0.00796821509037205	-3.25083369941874	-0.901742319743138
Acidaminococcus provencensis	162.655213631736	-3.36457673313522	0.539050017595831	-6.24167818070254	4.32900922180022e-10	6.15630679858116e-08	-4.42109535348873	-2.30805811278171
Acidaminococcus sp000437815	32.5558769946934	-1.76449910353073	0.816010218769916	-2.16234927326107	0.0305912644237307	0.163678408857268	-3.36384974333642	-0.165148463725047
