	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Lactobacillus gallinarum	259.973818403076	-29.96923091565	1.54659007027192	-19.3776175676473	1.1924091196431e-83	4.0887708712562e-80
Enterocloster clostridioformis_A	35671.0536559113	-8.48170887641289	0.478030125645165	-17.743042585372	1.9508008232993e-70	3.34464801154665e-67
Enterocloster clostridioformis	199493.315806322	-7.84518792298932	0.462785913960724	-16.9520888305497	1.8573591175513e-64	2.12296147136114e-61
Veillonella atypica	48524.3775058316	-8.85246526933849	0.601571079618316	-14.7155765449283	5.12079317753167e-49	4.38979995143902e-46
Veillonella parvula_A	31573.3260743051	-8.89048367490362	0.609511150346672	-14.5862527204744	3.43557133119428e-48	2.35611481893304e-45
Blautia sp001304935	80804.3200530709	-6.47546527691555	0.450227604455565	-14.3826482713026	6.65003935796197e-47	3.80049749307526e-44
Blautia sp900539145	31634.9647833762	-6.27223403293558	0.44645091610377	-14.0491010471523	7.80180788996872e-45	3.82177132210039e-42
Veillonella sp900757715	16471.0918219956	-9.41736985138892	0.676664171261839	-13.9173466711374	4.970148459096e-44	2.08536034656694e-41
Pediococcus acidilactici	23864.8525732986	-12.2183753253396	0.878359447389279	-13.9104501712321	5.47338673639616e-44	2.08536034656694e-41
Veillonella dispar	12119.2358847713	-6.71409824830188	0.488698114970365	-13.7387439047294	5.94991074249812e-43	2.0402243936026e-40
Enterocloster aldenensis	46520.5453865583	-5.66620135828805	0.414528105386777	-13.6690402524123	1.55431680581616e-42	4.84522938831238e-40
Oribacterium sinus	2775.63021303791	-5.76916937522883	0.42338449522185	-13.6263123480841	2.79343141717801e-42	7.98223027458617e-40
Ligilactobacillus salivarius	4743.49961738681	-9.67720258266982	0.7118527563328	-13.5943880199652	4.32361972071367e-42	1.14043784787132e-39
Enterococcus_B faecium	13522.1520529055	-6.97929796146458	0.520892795456634	-13.3987223903649	6.15129446275054e-41	1.50662776519797e-38
Angelakisella sp900547385	5135.05865627305	6.98863427063901	0.525659649108852	13.2949795223712	2.47540990939137e-40	5.65878705286868e-38
Faecalimonas phoceensis	41959.5972744647	-5.33567076028651	0.401967266759067	-13.2738936762347	3.28080673868627e-40	7.03117894184701e-38
Anaerostipes sp000508985	3786.30253883887	-4.82331468236856	0.365065486070008	-13.2121903231455	7.46210149928113e-40	1.42610115064422e-37
Leptotrichia wadei	6144.59786160726	-6.68466766808812	0.505956222927957	-13.2119487124876	7.48609527897231e-40	1.42610115064422e-37
Lactiplantibacillus plantarum	4049.08589162791	-8.53001185003003	0.649106065432231	-13.1411679913205	1.91251686638527e-39	3.4515896499132e-37
Klebsiella pneumoniae	13183.9693384812	-7.62003434453758	0.581751832571885	-13.0984277451262	3.36149021895761e-39	5.76327498040282e-37
Klebsiella variicola	8853.53069545514	-9.55707799156033	0.731213418284024	-13.0701622160988	4.87614353068276e-39	7.96204579367199e-37
Enterocloster bolteae	171719.822306785	-5.98976218526128	0.460463375381805	-13.0081185725026	1.10017494594554e-38	1.71477267711239e-36
Anaerostipes rhamnosivorans	1171.25659943514	-4.89639358935798	0.377108087633593	-12.9840588147646	1.50679060601024e-38	2.24642825565613e-36
Blautia hominis	1142.80262319244	-4.05906646127157	0.314610170506627	-12.9018920613251	4.39179925436438e-38	6.27478318467311e-36
Erysipelatoclostridium ramosum	117016.945098022	-6.33306750269051	0.496197990293806	-12.7631865234694	2.6320939249778e-37	3.61018002749955e-35
CAG-317 sp000433535	76052.2584973966	-6.03501517691783	0.47573108440978	-12.6857701224321	7.09133881436918e-37	9.35238492095073e-35
CAG-170 sp900549635	3038.55759859877	4.88600914103297	0.392782269758857	12.4394849697077	1.59529211654389e-35	2.02602098801075e-33
Succinivibrio sp900548485	1784.74250654968	-5.5478301951578	0.449992408295149	-12.328719535906	6.34469184367738e-35	7.76998154713205e-33
CAG-177 sp003514385	9771.10378419814	6.38518820958059	0.519839742278236	12.2829935656651	1.11784076374365e-34	1.32175033754378e-32
Clostridium_Q symbiosum	16478.5367913133	-4.76675676824408	0.38863252301054	-12.2654602638977	1.38821224079986e-34	1.58672659123423e-32
Enterocloster sp005845215	5624.08823779743	-5.42428392461057	0.444197639495058	-12.2114199678698	2.70132996082351e-34	2.98801949537542e-32
Fusobacterium nucleatum_E	827.496606776085	-4.39241543973664	0.359960220452129	-12.202502360454	3.01416294154417e-34	3.22986397704842e-32
Clostridioides difficile	1619.12578633705	-4.61087997838195	0.378243835904547	-12.1902316460896	3.50423871867176e-34	3.6412225958562e-32
Coprococcus sp900548215	1507.07839140891	5.36148389125933	0.442873015669833	12.1061426222825	9.79952272075348e-34	9.88310688513638e-32
Enterobacter chengduensis	12947.9932907937	-8.68746999436461	0.722618488427417	-12.022208307001	2.71614002719257e-33	2.66104118664095e-31
Enterococcus_A avium	2293.91736376316	-7.28712278416209	0.60868539363782	-11.97190348303	4.98711862542598e-33	4.75023049071825e-31
UBA1777 sp003150355	1592.22537510452	6.58776652770536	0.552250887555371	11.9289378725441	8.36337526687671e-33	7.75081453787034e-31
Limosilactobacillus fermentum	4455.30461024405	-7.77359340633174	0.653589445613264	-11.893694824031	1.27632719074738e-32	1.15171735186126e-30
Faecalimonas umbilicata	142768.928973492	-6.04714379420301	0.511475097661534	-11.8229486085453	2.97071285347551e-32	2.61194214732501e-30
Blautia hansenii	36620.9011740995	-4.71549625587254	0.40248018353092	-11.7160954720899	1.05419713152926e-31	9.03710491003459e-30
Coprococcus eutactus_A	28724.5624908955	5.55959169487201	0.475787804871599	11.6850235292861	1.52037456075636e-31	1.27155228508135e-29
Eubacterium_F sp900539115	7158.74678283791	5.10117742889269	0.439209461160739	11.6144525106798	3.48010409851378e-31	2.83838526122234e-29
Clostridium_AQ innocuum	83512.330997633	-4.8337569730298	0.416253651285131	-11.6125275012151	3.55936326137535e-31	2.83838526122234e-29
F23-B02 sp001916715	4639.8838105294	7.80575286852248	0.675267699850482	11.5594939166361	6.60971771413669e-31	5.15107319131244e-29
Veillonella sp900550455	1199.66220776894	-7.20062270210179	0.628239963674144	-11.4615801579866	2.05726715622452e-30	1.56763757304308e-28
ER4 sp900317525	8366.93492820668	5.13086852940383	0.450159567989788	11.3978884250223	4.28383363477279e-30	3.19331859426867e-28
Veillonella tobetsuensis	7134.88828944933	-7.96374166449648	0.701965652835646	-11.3449164247942	7.86013040316624e-30	5.73455045796958e-28
Klebsiella_A grimontii	16135.2113191894	-9.44307737715331	0.833232333351131	-11.333066419992	8.99977618503483e-30	6.42921511218425e-28
Faecalimonas sp000209385	3033.14179307825	-3.99758303580451	0.353315787501154	-11.3144761067079	1.11264950989925e-29	7.78627585600927e-28
UMGS1633 sp900553645	892.923244511468	6.22612922386852	0.552048497418649	11.2782287298699	1.68096427779079e-29	1.15280530170893e-27
CAG-110 sp000434635	4971.45859379485	4.8386986213686	0.432709115656364	11.1823357685195	4.97627253743089e-29	3.34581147663736e-27
Streptococcus lutetiensis	1028.9681477414	-4.2117019185387	0.378065977175915	-11.1401241391764	8.00077491048121e-29	5.27589560923847e-27
Clostridium_P perfringens	349.433615968556	-3.39185543089195	0.306092661648775	-11.0811393276194	1.54888912282466e-28	1.00210203814449e-26
Fusobacterium_A ulcerans_A	5902.61177036873	-3.76453434546843	0.340768627928744	-11.0471857939212	2.2619470707403e-28	1.43633638992009e-26
CAG-170 sp003516765	4439.39875423959	6.11887424859301	0.554460834452234	11.0357195105367	2.56986277446016e-28	1.60219262793161e-26
Limosilactobacillus mucosae	12675.6718986448	-12.9468655157975	1.17360429165559	-11.0317128250558	2.68698172794951e-28	1.64529649020337e-26
Faecalimonas sp900546325	5671.09974349192	-3.78386739404768	0.343125848954331	-11.0276372519848	2.81154582182825e-28	1.69136677597352e-26
Ellagibacter isourolithinifaciens	3566.00483251717	6.40821160239715	0.585158934975983	10.9512325957394	6.55494929531687e-28	3.8753312299382e-26
UMGS973 sp900547295	1380.24777345178	5.47955673460502	0.500748267113142	10.9427372883288	7.19928692468746e-28	4.12864798876656e-26
Coprococcus sp900767685	1495.1548157208	4.64243399288934	0.424260117052029	10.9424237780051	7.22423095147254e-28	4.12864798876656e-26
F23-B02 sp002472405	4084.78062504921	7.4654714572028	0.687480730127837	10.8591719448116	1.80377358929225e-27	1.01395731765297e-25
Phil1 sp001940855	1079.5491979574	5.31884992201008	0.490145354374435	10.8515767303323	1.960144270664e-27	1.08408624259788e-25
Clostridium_AP scindens	32710.4611241037	-4.52663690920258	0.418218079128762	-10.8236279948312	2.66033505563107e-27	1.43654133143688e-25
Acidaminococcus intestini	24756.4983750005	-8.84054394356441	0.816835989125421	-10.8229118957282	2.68120866759872e-27	1.43654133143688e-25
Ruminiclostridium_E siraeum	11405.275295053	4.63079363124741	0.429131698415117	10.7910780032098	3.79313809560731e-27	2.00102623535961e-25
Fusicatenibacter sp900543115	3262.71352703926	-4.34001621496356	0.402286826153018	-10.7883627621272	3.90687516673563e-27	2.02964961386592e-25
Anaerostipes caccae	7030.43479890162	-4.53831847050193	0.42072159466572	-10.7869872334645	3.96577789819238e-27	2.02964961386592e-25
Fusobacterium animalis	8808.1632585053	-10.0049240522395	0.929969220566919	-10.7583389116259	5.41371813752479e-27	2.7299469843489e-25
Klebsiella_A oxytoca	9065.92009858575	-9.30674060304182	0.868032090744908	-10.7216549967124	8.05489589683688e-27	4.00293304786285e-25
CAG-83 sp900548615	3485.15011730267	4.36693715717553	0.407385428909038	10.7194240325925	8.25155659027911e-27	4.04208393543815e-25
Blautia sp900555025	4528.26959684468	-3.63643291864377	0.343082210116716	-10.5993048062931	3.00203448411857e-26	1.44985580930177e-24
Porphyromonas pasteri	4713.72037149039	-6.37945961905216	0.602201933212943	-10.5935555288169	3.19231176286613e-26	1.52033847706499e-24
Gemella sp002871655	477.089209977955	-6.52507524971216	0.618160211494818	-10.5556377268822	4.78379953663715e-26	2.24707515220942e-24
Bulleidia sp900554555	849.297261831548	-4.89731993028248	0.464899089581807	-10.5341568525931	6.01195940897461e-26	2.78581200180729e-24
Veillonella_A seminalis	2251.29504700318	-8.4350963876006	0.800837242551636	-10.5328472995644	6.09620883935871e-26	2.7871866813548e-24
Klebsiella aerogenes	2987.85437276614	-8.89860875167327	0.848130955996458	-10.4920221208273	9.39948895001882e-26	4.24090100126507e-24
TM7x sp900555885	2201.17054975419	-6.71506726349902	0.641472035085672	-10.4682151305352	1.20901060783767e-25	5.38402256399398e-24
Leuconostoc citreum	4104.26672697499	-11.021850703038	1.05328382682028	-10.4642741323689	1.26038818852458e-25	5.54086038262919e-24
Lachnoclostridium_A sp003464085	561.722568430662	-3.5264222233269	0.339385133027476	-10.3906208025954	2.73566649974639e-25	1.18741777564942e-23
Citrobacter werkmanii	2209.4958426214	-7.72061846431802	0.747149839884834	-10.3334271817659	4.97506281403418e-25	2.1324362986654e-23
Citrobacter youngae	4677.13538359315	-8.50978478857887	0.828816808531396	-10.267389248123	9.88433679987051e-25	4.18436924527852e-23
Enterococcus_A raffinosus	2630.15502726375	-10.6545653727086	1.03834241254234	-10.2611289339721	1.05466439354669e-24	4.41029781155074e-23
Veillonella sp009929605	1342.13586321253	-5.92305984955033	0.578764667777914	-10.233969313108	1.39674465141017e-24	5.77040651769334e-23
CAG-170 sp000432135	11623.8402756099	5.52863287199068	0.540917108159861	10.2208504567335	1.59931511921293e-24	6.52863279021566e-23
UMGS1312 sp900550625	1276.4710898086	5.92326325995365	0.57996421583778	10.2131529811667	1.73145175031632e-24	6.98488006098196e-23
ER4 sp003522105	3260.33271927748	4.79242518119728	0.470334166450503	10.1894047318836	2.21113944787895e-24	8.81627577532198e-23
Escherichia sp000208585	15092.0365920218	-5.47457356909063	0.538413405236703	-10.1679741177392	2.75580656905637e-24	1.08616789945911e-22
CAG-83 sp000435555	32194.4101634427	5.34695663517689	0.527557425460547	10.1353073184575	3.85160537661149e-24	1.500813049591e-22
Eisenbergiella massiliensis	18389.9755227079	-4.33343927042484	0.428755982103048	-10.1070059691513	5.1432058131629e-24	1.98157895880175e-22
UMGS680 sp900544525	676.189761593711	-4.16823602018409	0.413077919490727	-10.0906773843613	6.07488462686522e-24	2.31453104283565e-22
Klebsiella quasipneumoniae	1963.01075490402	-8.42140777567821	0.837923853895567	-10.050325857805	9.15641416215107e-24	3.45025760022154e-22
Firm-11 sp900540045	6245.7283912113	4.78110926975532	0.477066922678069	10.0218838122669	1.22152148463403e-23	4.55282301175008e-22
CAG-83 sp900549395	2298.20089340997	3.9167842269309	0.39131201241852	10.0093636347197	1.38641445757346e-23	5.11184427421441e-22
Lactobacillus amylovorus	4371.00601839004	-10.782577164506	1.07953130688335	-9.98820237611804	1.71666549014833e-23	6.26217655927514e-22
Faecalimonas sp900555395	620.321387893042	-3.2193594895284	0.323239378694889	-9.95967602254058	2.2880710813513e-23	8.25873235574066e-22
UBA738 sp003522945	3983.62806864213	6.38613408458066	0.642260286911454	9.94321806084375	2.69962175315483e-23	9.59454875189559e-22
Anaerostipes sp900756035	9249.68346745038	-2.92564904590488	0.294251414689601	-9.94268472418758	2.71411848624635e-23	9.59454875189559e-22
Flavonifractor plautii	125462.59864536	-3.86350298263994	0.388874037876923	-9.93510136015488	2.92877937606393e-23	1.024773926584e-21
Ruminococcus_C sp000980705	7317.33752475505	6.10666116432492	0.615077072217445	9.92828612893907	3.13599178837e-23	1.07669488446762e-21
Ruminococcus_B sp900544395	32112.441728562	-4.37921872772357	0.441090678312219	-9.92815977086644	3.13996758374927e-23	1.07669488446762e-21
Megasphaera massiliensis	339.235840292125	-5.77390406809465	0.582789445528202	-9.9073586737	3.86734986042036e-23	1.31298442290905e-21
Escherichia albertii	8703.44239308185	-5.15288649655135	0.521120190277212	-9.88809605287074	4.68859973502138e-23	1.57619691092042e-21
Blautia sp900541955	20384.6370466104	-4.60757518755602	0.466317490070097	-9.88076854433105	5.04445238567995e-23	1.6793618670385e-21
CAG-317 sp900543415	29228.7507638107	-4.1506262090676	0.420140842439244	-9.879130495788	5.12758864569878e-23	1.69062514097126e-21
Anaerobutyricum sp900754855	331.04870169123	-2.66563647918642	0.27037315614464	-9.85910183243338	6.26069030848843e-23	2.04456257788636e-21
Streptococcus pasteurianus	984.732616119475	-2.51386874810983	0.255225326810803	-9.84960536449168	6.88136333077462e-23	2.2260561189836e-21
Paenibacillus lactis	3929.65269555354	-5.11055143941843	0.519562541499222	-9.83625845056439	7.85789608906304e-23	2.51819866256048e-21
Eisenbergiella sp900548905	534.570299351797	-3.47420969585412	0.353830533324755	-9.81885215842976	9.34009531555031e-23	2.96548026268722e-21
SFEL01 sp004557245	9789.28429201852	4.66753616815783	0.475820193675861	9.80945371843016	1.02522059931909e-22	3.22521232574785e-21
SFFH01 sp900542445	7228.77134308567	5.07339570230197	0.52023676833119	9.75208983897151	1.80709239444091e-22	5.63319983685261e-21
Veillonella sp900556785	6577.06094033326	-7.60728258317991	0.783253702078491	-9.71241190816303	2.66944293128786e-22	8.24641424449196e-21
Granulicatella sp900551535	966.047858811218	-4.37293935397898	0.450292243461364	-9.71133617662278	2.69777055461445e-22	8.25951359979728e-21
Enterocloster sp900540675	1627.96625651527	-3.44510814172656	0.354956820717903	-9.70571049954415	2.850830902017e-22	8.65088421505867e-21
Porphyromonas gingivalis	1225.47324090771	-5.46534275278586	0.564344923160636	-9.68440138023568	3.51260202218647e-22	1.05655371351556e-20
Ruminococcus_A sp000432335	3780.02174862985	-3.19174694495479	0.329888056297081	-9.67524250735667	3.84179737892062e-22	1.14552375759294e-20
Escherichia fergusonii	17595.19577532	-5.09358577258871	0.527222005038339	-9.66117825870776	4.40764948026869e-22	1.30291638515874e-20
UMGS1975 sp900751745	408.314179680422	5.30232031623088	0.550212273618124	9.63686302627078	5.58692062963869e-22	1.6312488244663e-20
UBA1777 sp900547315	1356.33176768365	4.4674280443883	0.463600456694989	9.63637541739418	5.61351301507797e-22	1.6312488244663e-20
UBA1777 sp900549645	443.079488360188	4.73203501134905	0.491263512501677	9.63237629282085	5.83638962543256e-22	1.68176302736204e-20
Blautia sp900547685	2485.43056360602	-3.69759367112668	0.384248884252663	-9.62291322801949	6.39925882848533e-22	1.82858821023968e-20
UBA1417 sp900549945	1203.70928218483	-3.55198088757379	0.369438712512163	-9.61453352687516	6.94233033133092e-22	1.96737609141601e-20
UBA4644 sp900555855	559.768360838498	3.57545223712747	0.373325221336628	9.5773123078215	9.9603110838762e-22	2.79950054972225e-20
Sutterella sp900762445	1376.35694153338	-13.224669089678	1.38715762218724	-9.53364554838809	1.5185483000274e-21	4.23341635836906e-20
Escherichia marmotae	5191.6250693088	-4.83025097209365	0.506870701524478	-9.52955252210486	1.5796263682918e-21	4.36817646521983e-20
CAG-103 sp900543625	6156.93838023541	4.53086607417778	0.47597214345643	9.51918328933158	1.74545393916994e-21	4.78812924593099e-20
Beduini sp902363625	169.451953639928	-3.59490412850036	0.378892966974243	-9.48791464040223	2.35702181787044e-21	6.41446651863313e-20
Escherichia coli_D	105922.653880648	-4.60475036456605	0.486152809810691	-9.47181682722177	2.75017968262624e-21	7.42548514309086e-20
Streptococcus rubneri	778.850385455122	-3.31809485484183	0.350709380169318	-9.46109526138109	3.04734309129405e-21	8.16354645316196e-20
Veillonella sp900552715	3529.27541220268	-6.73629470150317	0.715040752962504	-9.42085422906855	4.47432888211096e-21	1.18933904936112e-19
Citrobacter freundii	4298.18533401472	-8.59440597421095	0.912554383169798	-9.41796580315345	4.59911425659423e-21	1.20941239656715e-19
Anaeroglobus micronuciformis	187.021496716546	-4.77126543887884	0.506639232902066	-9.41748117600109	4.62038565034402e-21	1.20941239656715e-19
Hungatella sp005845265	9509.07990524251	-3.11842298594757	0.331656450670859	-9.40256997757702	5.32463209837479e-21	1.38319420191872e-19
Anaeroglobus geminatus	937.03331224481	-4.53023891823001	0.481892556221885	-9.40093151416949	5.40821221797089e-21	1.39434283424227e-19
CABIZH01 sp902363205	519.334896386552	-6.78062004389539	0.72171747562953	-9.39511688833762	5.71543268008574e-21	1.46255363134433e-19
Coprococcus sp000154245	6732.08297850672	3.77611473032107	0.402813890616809	9.37434090105209	6.96093069555235e-21	1.7563974524226e-19
F0422 sp003999875	2485.28890341012	-5.5089650684426	0.587669234129381	-9.37426148674264	6.96617245638593e-21	1.7563974524226e-19
Veillonella_A sp000431435	1417.24293236874	-8.30213866273235	0.886388508596444	-9.36625258813249	7.51535031157715e-21	1.88103184075898e-19
Ruminococcus_C callidus	8320.45218594826	4.36523884513637	0.467004129309189	9.3473238696917	8.98933491101189e-21	2.2336543050623e-19
SFFH01 sp900548125	1974.05596791703	3.87864167709367	0.415959205025648	9.32457229033919	1.11432112717337e-20	2.74892600365286e-19
Acutalibacter timonensis	5809.13562264193	4.65848978378503	0.500174515282811	9.31372879154189	1.23421576753327e-20	3.02294704776541e-19
Enterobacter asburiae_B	1796.38863462576	-8.37269581336033	0.900977430364208	-9.29290294205902	1.50136514365131e-20	3.65119225360308e-19
CAG-170 sp900548625	1183.79044379333	3.23493685729277	0.349181035146424	9.26435439409316	1.9626102106454e-20	4.73928902274864e-19
Raoultella ornithinolytica	3815.8403964662	-8.50674692281507	0.918748874277286	-9.25905561463324	2.06248291273218e-20	4.94563210332773e-19
Campylobacter_A concisus_L	23.6468996981277	-26.7074503082332	2.89947528221341	-9.21113225971189	3.22702739201612e-20	7.68435897723838e-19
RUG115 sp900066395	17909.9444344697	3.64934299152558	0.396961347123948	9.19319479834923	3.81343587155028e-20	9.01811834727303e-19
Eubacterium_R sp003526845	620.9687485738	4.48576044484548	0.488171879999198	9.18889560958088	3.96895133476503e-20	9.32159871706117e-19
Blautia_A sp900547615	1113.11930567998	-2.43940679680411	0.266056437794133	-9.16875688868562	4.78505030145848e-20	1.11618622338103e-18
CAG-83 sp900555735	1169.6930141023	3.65173144233686	0.398489765662664	9.16392780192047	5.00419506983958e-20	1.15941789827567e-18
Lacticaseibacillus paracasei	1285.81483007098	-5.40497723713236	0.58992663848251	-9.16211759997105	5.08887407843637e-20	1.17112410838646e-18
Klebsiella_A michiganensis	119548.391657265	-8.96150584054459	0.978929134384715	-9.15439690757304	5.46622758007595e-20	1.24957962480536e-18
Prevotella sp900557255	155064.401122321	5.8936307647401	0.643916313578511	9.15278995182889	5.54817883544067e-20	1.25991425342557e-18
CAG-83 sp900554275	2398.41565039192	3.04722380605221	0.333464178082892	9.13808440705957	6.35683112917486e-20	1.43405091723294e-18
QAKD01 sp003343965	366.201831398323	4.03722882163569	0.442407143881794	9.12559590745303	7.13426743286607e-20	1.59891523054234e-18
Neisseria elongata	1942.96336477336	-5.63167176447162	0.61754788966533	-9.11940897008589	7.55351284552295e-20	1.68188282774664e-18
Clostridium_Q sp900547735	591.847084070731	-3.38231677014129	0.371193543229949	-9.11200324421053	8.08746308899339e-20	1.78915554401021e-18
Veillonella sp900545205	1129.13718374934	-4.1280207777496	0.453406510733907	-9.10445853780919	8.66978073709221e-20	1.90568449663392e-18
Lactobacillus johnsonii	558.625371684238	-9.28024945268085	1.01976675055796	-9.10036481146614	9.00289120064291e-20	1.96630025012768e-18
