	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CI_5	CI_95
1XD42-69 sp014287635	1551.594848292	1.70532017724257	0.274451889783933	6.21354867909676	5.18011745107028e-10	3.5103997509328e-09	1.1674043577771	2.24323599670803
28L sp000177555	13.0078331064213	-2.94567099142748	1.05260635997673	-2.79845448729058	0.00513478052895986	0.0114258030070106	-5.00874154687968	-0.882600435975289
43-108 sp001915545	125.826557050126	-0.499327532792666	0.452570195851614	-1.10331510419741	0.269890349594674	0.365957387837939	-1.38634881713807	0.387693751552736
51-20 sp001917175	106.103122333812	-0.428424353657424	0.997499284957705	-0.42949840678391	0.667560553076319	0.756229349009008	-2.38348702677898	1.52663831946413
51-20 sp900539605	0.146021551402676	-0.182949100496126	2.90922188486046	-0.0628859219876592	0.949857345281434	0.966486895243334	-5.88491921785836	5.51902101686611
51-20 sp900542055	1.57171545989396	-1.14614703078624	1.47838267196288	-0.775270877102802	0.438179614367618	0.547764454125615	-4.04372382320158	1.75142976162909
51-20 sp900762565	19.2348940316193	-1.86562225961228	1.43126325946437	-1.30347945933473	0.192411124519369	0.277567415219569	-4.67084670055786	0.939602181333295
AF33-28 sp003477885	1339.08771522691	0.873428427333959	0.295072460360944	2.96004725844475	0.00307591854317831	0.00711695322844699	0.295097032196886	1.45175982247103
AM07-15 sp003477405	1885.19428628666	0.0124107615648579	0.297179029055488	0.0417619022590608	0.966688506093535	0.976281617592324	-0.570049432344481	0.594870955474197
AM51-8 sp003478275	1020.23083908607	0.954421833915991	0.276465587742551	3.45222652015832	0.000555980761307011	0.00146876581704294	0.412559238975893	1.49628442885609
AM51-8 sp900546435	1039.98176945117	0.370944859497542	0.282798836486224	1.31169160420366	0.189624210714411	0.274239316128096	-0.183330674885288	0.925220393880372
AM51-8 sp900761925	1845.09657509374	1.01119220083117	0.438522482255303	2.30590731775175	0.0211158116592346	0.0406091520917081	0.151703929199667	1.87068047246267
Absicoccus porci	11.0122684314526	0.330306120440537	0.485486739075487	0.680360746968165	0.496276069063208	0.603450581850263	-0.621230403119212	1.28184264400029
Absicoccus sp000434355	187.900884696504	0.304762083401632	0.27789980861218	1.09666172468272	0.272789294085244	0.369429103245775	-0.239911532788814	0.849435699592077
Acetatifactor sp003447295	4268.82347666515	1.36399653853395	0.321477594669219	4.24289767359191	2.20652061589091e-05	7.38882733583e-05	0.733912031145718	1.99408104592219
Acetatifactor sp900066365	17910.7851932401	1.69439490233114	0.331476198401915	5.11166385550459	3.19333671714043e-07	1.41289698104188e-06	1.04471349173113	2.34407631293115
Acetatifactor sp900066565	26356.1279001177	1.49185063825715	0.370963499322023	4.0215564091445	5.78148585124885e-05	0.000182212453896437	0.764775540007038	2.21892573650727
Acetatifactor sp900554205	252.953543690744	0.186230497657869	0.229065900733358	0.812999652334323	0.416218257497022	0.524710442999003	-0.26273041786574	0.635191413181478
Acetatifactor sp900755865	831.922378653974	2.08611559635537	0.362709867655275	5.75147185777158	8.84698095776019e-09	4.94882507408804e-08	1.37521731891374	2.797013873797
Acetatifactor sp900760705	1028.56220436721	-0.831193209541516	0.303127749610296	-2.74205581841354	0.00610559651573018	0.0133350894601521	-1.42531268149237	-0.237073737590661
Acetatifactor sp900766575	597.303889708606	1.13706431161582	0.266883433855386	4.26052788361513	2.03944635366733e-05	6.87636336944471e-05	0.613982393188891	1.66014623004276
Acetatifactor sp900771995	1276.27209647033	0.706664783933644	0.248826905369883	2.83998542232876	0.00451155954783702	0.0101510089826333	0.218973011024118	1.19435655684317
Acetatifactor sp900772845	1852.46526186516	1.32816493847699	0.325657274228134	4.07841323865704	4.5344117718093e-05	0.000145721630417377	0.689888409686362	1.96644146726761
Acetivibrio_A ethanolgignens	1294.14196752185	-1.48772557791074	0.236340908232411	-6.29482889372562	3.07739126086735e-10	2.1491598031597e-09	-1.95094524611975	-1.02450590970173
Acetomicrobium hydrogeniformans	0.884330598282034	0.653909348832711	1.83325105287441	0.356693835144633	0.721321021205948	0.801543204294226	-2.93919668942128	4.2470153870867
Achromobacter xylosoxidans	22.8248193145166	-2.09854930747063	0.867256031685737	-2.41975752349806	0.0155308593818281	0.0308726474320513	-3.7983398949498	-0.398758719991462
Acidaminococcus fermentans	155.277320353114	-1.75480841676194	0.269329192240745	-6.51547796272069	7.24585611568889e-11	5.44869311857395e-10	-2.28268393353906	-1.22693289998481
Acidaminococcus fermentans_A	37.2786503853712	-0.0753361790052439	0.391849729217204	-0.192257830969394	0.847540248163695	0.899023723594691	-0.843347535622737	0.692675177612249
Acidaminococcus intestini	24756.4983750005	-8.84054394356441	0.816835989125421	-10.8229118957282	2.68120866759872e-27	1.43654133143688e-25	-10.4415130635264	-7.23957482360243
Acidaminococcus massiliensis	17.4237771006106	0.178044811021039	0.827516291144877	0.215155656663523	0.829645962105435	0.885696140740827	-1.44385731624308	1.79994693828516
Acidaminococcus provencensis	17.1634859465209	-0.0761117986881341	0.515100267689149	-0.147761132079368	0.882531284656223	0.921778792289427	-1.08568977178581	0.933466174409538
Acidaminococcus sp000437815	30.5195648111409	-2.68789150623638	0.718618857934296	-3.74035759924649	0.000183758630988332	0.000529502811478144	-4.09635858639891	-1.27942442607385
Acidaminococcus sp900538365	80.1450622547489	-3.74169531545519	1.06161089463985	-3.52454494800993	0.000424210838154092	0.00114267004244335	-5.82241443454464	-1.66097619636574
Acidaminococcus sp900554515	5.94556535482351	-1.25559450644444	1.12800382818198	-1.11311191954738	0.265660365071177	0.361344463240406	-3.46644138410443	0.95525237121555
Acidaminococcus sp900770265	5.99263445554132	-0.0919762350710956	0.909901407834077	-0.101083737511776	0.919483987502031	0.948529059309406	-1.87535022390818	1.69139775376599
Acidaminococcus timonensis	41.0708813045306	-1.73125049527531	0.488881406051508	-3.54124839653425	0.000398238471750013	0.00108291809645582	-2.68944044384757	-0.773060546703054
Acidovorax sp000302535	145.308203321038	-5.29093571755179	1.0142073282516	-5.21681866238619	1.82022299800199e-07	8.4231371931833e-07	-7.27874555378152	-3.30312588132206
Acidovorax temperans	30.4263472080677	-4.07676535766973	1.22871837853129	-3.31790052863275	0.000906967774989156	0.0022935047938332	-6.48500912673351	-1.66852158860596
Acinetobacter baumannii	18.6129644563359	-8.17697124659176	2.89962241734104	-2.82001242564888	0.00480217899254328	0.0107588011902911	-13.8601267533452	-2.49381573983836
Acinetobacter courvalinii	10.5545836436736	-4.50188659265941	2.47982221739086	-1.81540699211739	0.0694613873537843	0.116130227808935	-9.36224882680775	0.358475641488924
Acinetobacter johnsonii	43.7915925146749	-6.71719701505648	1.37765733145543	-4.87581117719604	1.08362226490787e-06	4.44466596455634e-06	-9.41735576774669	-4.01703826236627
Acinetobacter junii	1.99199555292276	-3.02531581460589	2.17269819340831	-1.39242340412687	0.163794221349045	0.242195077622197	-7.28372602296141	1.23309439374964
Acinetobacter mesopotamicus	16.5827383173638	-3.56994282073857	1.56511275825425	-2.28094928107322	0.0225514482972733	0.043152296992941	-6.63750745866104	-0.502378182816086
Acinetobacter nosocomialis	0.160242018220895	-1.09467022814788	2.90865465645052	-0.376349328965622	0.70665721110492	0.788008968090657	-6.79552859825561	4.60618814195985
Acinetobacter pittii	17.5147006206215	-6.50320998190018	2.89754610052231	-2.24438533720928	0.0248076191072081	0.0470754432311105	-12.1822959824684	-0.824123981331984
Acinetobacter radioresistens	1.15485101575986	-3.13527274159098	2.87322481135193	-1.09120342035323	0.275183383208184	0.372083525639141	-8.76668989132765	2.49614440814569
Acinetobacter sp900766635	58.8858900944801	-3.55268647704702	0.616206993486323	-5.76541083532165	8.14591602878933e-09	4.59413586557872e-08	-4.76042999130193	-2.34494296279212
Acinetobacter sp900771065	58.8888598113864	-4.20215027209658	0.701577576517997	-5.98957323144831	2.10392381954791e-09	1.30458495067446e-08	-5.57721705443275	-2.82708348976041
Acinetobacter ursingii	2.73848762161439	-1.80054143050746	1.58514299980618	-1.13588580382187	0.256004360369052	0.351665097778232	-4.90736462047336	1.30628175945844
Acinetobacter variabilis	4.95463594729118	-4.48155450356998	1.6975625722225	-2.63999370444567	0.00829075673182933	0.0175813264276084	-7.80871600662925	-1.15439300051072
Actinobaculum massiliense	161.976613652575	-0.863349850256401	0.62991707902066	-1.37057698387645	0.170506861885566	0.250607813718649	-2.09796463838357	0.371264937870765
Actinomyces graevenitzii	802.744924509184	-2.78883108226222	0.403414543633038	-6.91306529791116	4.74291489808325e-12	4.21333035894494e-11	-3.57950905862264	-1.99815310590181
Actinomyces oris	3535.40343649827	-2.85684728239483	0.339231961145714	-8.42151568721939	3.71644551979839e-17	5.89985726267994e-16	-3.52172970864532	-2.19196485614434
Actinomyces sp000220835	449.383513394998	-1.21434411349687	0.38870641490818	-3.12406501905485	0.00178371036911789	0.00427118914504557	-1.97619468727658	-0.452493539717151
Actinomyces sp900323545	443.772125138773	-1.36978883643962	0.329311429240447	-4.15955449708813	3.18868935079e-05	0.000104832366096442	-2.01522737744831	-0.724350295430935
Actinomyces urogenitalis	47.508604937537	-1.92178828439292	0.371476914609132	-5.17337204228431	2.2990658713963e-07	1.04973327203967e-06	-2.64986965811488	-1.19370691067096
Acutalibacter sp000432995	135.285575826597	-0.73796983999115	0.403693090870204	-1.82804674313443	0.0675425367122218	0.113142822855989	-1.5291937589044	0.0532540789221052
Acutalibacter sp000435395	6059.91824873287	-0.333318812983014	0.548395701746229	-0.607807121612448	0.543315405419138	0.648686812389354	-1.40815463768219	0.741517011716164
Acutalibacter sp900543305	225.426918546094	-0.450360381613909	0.360381621569907	-1.24967632825457	0.211417807950084	0.301560592121813	-1.15669538058107	0.255974617353252
Acutalibacter sp900543555	2798.39153613286	-1.12193639370022	0.482972205375276	-2.32298335434947	0.0201800466728687	0.0390945649950659	-2.06854452176964	-0.175328265630797
Acutalibacter sp900548545	2330.78183160841	-1.17180375468006	0.491927430238858	-2.38206630215982	0.0172157974888545	0.0340247663338801	-2.13596380095556	-0.207643708404557
Acutalibacter sp900755895	2799.24760325325	0.690376115521141	0.328380181276369	2.10236839762297	0.0355210172802151	0.0648220038856618	0.0467627869827232	1.33398944405956
Acutalibacter sp900759575	584.910144317554	0.475023871599018	0.317075220825263	1.49814252391801	0.134096224851507	0.204181152316082	-0.146432141608581	1.09647988480662
Acutalibacter timonensis	5809.13562264193	4.65848978378503	0.500174515282811	9.31372879154189	1.23421576753327e-20	3.02294704776541e-19	3.67816574784594	5.63881381972412
Adlercreutzia celatus_A	14336.5182276273	1.17757680851876	0.450410568553322	2.61445199276969	0.00893707190837854	0.0187662091695224	0.294788315898044	2.06036530113948
Aeromicrobium massiliense	16.6371522090955	-1.08669287443599	0.705695784372587	-1.53988857309405	0.123587516627781	0.191064740539522	-2.469831195848	0.296445446976022
Aeromonas caviae	14.6130176164092	-4.8380968749954	1.74725977791519	-2.76896254131607	0.00562351002278325	0.0124246236263684	-8.26266311134464	-1.41353063864617
Aeromonas dhakensis	14.1893073277284	-2.57563070352721	1.82881634008113	-1.40835941099091	0.159024671632606	0.235855184481505	-6.16004486442457	1.00878345737015
Aeromonas hydrophila	8.00524671714472	-2.57055793035849	1.50754984216731	-1.70512301381887	0.0881714842873506	0.142478802837571	-5.52530132590546	0.38418546518849
Aeromonas rivipollensis	17.7091069815394	-2.5619897438205	1.21886908031759	-2.10194005672286	0.035558527065888	0.0648220038856618	-4.95092924311244	-0.173050244528564
Aeromonas veronii	13.0938155421303	-3.19298535916796	1.34670347438818	-2.37096392776335	0.0177417625286442	0.0348633259087226	-5.83247566682375	-0.553495051512159
Aeromonas veronii_A	0.559366157633931	-3.02549626194957	2.9054144079113	-1.04133037053554	0.297722246050483	0.397852525996535	-8.72000386161949	2.66901133772035
Afipia broomeae	84.3497665535077	-2.92967089347554	0.612425744176452	-4.78371610163965	1.72083692853015e-06	6.86133700922078e-06	-4.13000329526652	-1.72933849168455
Agathobacter faecis	212115.23243102	-0.122762521863138	0.440491399151716	-0.278694480980899	0.780479298313661	0.847992241418741	-0.986109799700158	0.740584755973883
Agathobacter rectalis	653147.18799428	-0.537862890654712	0.432432906560421	-1.24380657090341	0.213570761444996	0.30437827971525	-1.38541581324311	0.309690031933688
Agathobacter sp000434275	15584.9026792663	0.760098312341812	0.281163493715318	2.70340328432332	0.00686334182490521	0.014782914018593	0.209027990892334	1.31116863379129
Agathobacter sp900543445	988.456769502872	-0.400433646687117	0.252486904436691	-1.58595808198648	0.112748818756834	0.176698217329608	-0.895298885951037	0.0944315925768036
Agathobacter sp900546625	63790.3620942111	0.105167599840694	0.414308569530068	0.253838823464311	0.799620078725346	0.862903668464236	-0.706862274924547	0.917197474605935
Agathobacter sp900547695	19579.8835934395	-0.588736326274097	0.340172910741481	-1.73069726507857	0.0835057733062863	0.135706775671685	-1.25546297984356	0.0779903272953637
Agathobacter sp900548765	1149.0391175563	-0.0371585144245677	0.259671598084901	-0.143098108143574	0.886212699049242	0.923440322926466	-0.546105494478933	0.471788465629798
Agathobacter sp900549895	1155.15529593813	-0.0735690241872164	0.298075324555045	-0.24681353378391	0.805052536019478	0.866726890427249	-0.657785924995191	0.510647876620759
Agathobacter sp900550545	3218.16266200526	0.240051698965175	0.29992874592125	0.800362426841886	0.423500843620804	0.532716211583176	-0.347797840968739	0.827901238899089
Agathobacter sp900552085	2526.45179638202	-0.0791497921920375	0.271843728797131	-0.291159161707588	0.770929594348976	0.840813479332901	-0.611953710057488	0.453654125673412
Agathobaculum butyriciproducens	26694.126418762	0.57034834884288	0.321989999060639	1.77132317931237	0.0765069750663602	0.125944511523067	-0.060740452698059	1.20143715038382
Agathobaculum desmolans	563.069714504601	-2.65088379487201	0.333731596517238	-7.94316097887088	1.97092885744645e-15	2.6503196283074e-14	-3.30498570454885	-1.99678188519517
Agathobaculum sp003481705	9013.5946820978	0.948914549436183	0.38022822877287	2.49564466188811	0.0125728477749113	0.0254876871961902	0.203680915135901	1.69414818373646
Agathobaculum sp900291975	4881.05048735512	-1.37202488586393	0.332934799327744	-4.12100173557797	3.77228583517274e-05	0.000122376235844913	-2.02456510174638	-0.719484669981486
Agathobaculum sp900544475	1277.86374952573	1.00168167467925	0.295737244072461	3.38706637312757	0.000706442947146759	0.00182176938663973	0.422047327410098	1.58131602194841
