	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Bulleidia sp900539965	642.869318077066	-3.6282999536451	0.368311344931086	-9.85117619530287	6.77464626795406e-23	1.96667981158706e-19
Prevotella rara	4338.86022966443	-2.8368594572902	0.331317488797376	-8.5623595288842	1.10580730662299e-17	1.4550739685969e-14
Ruminococcus_E sp900314705	1191.80429406515	2.80092236093163	0.329046498733962	8.51223876172044	1.70606818924014e-17	1.4550739685969e-14
RC9 sp000431015	7807.84564573983	-3.58617443143083	0.422225377804866	-8.49350754347173	2.00492451752932e-17	1.4550739685969e-14
Acidaminococcus intestini	1312.55046091475	-5.99998967426675	0.741752055699508	-8.08894242781501	6.01850091513996e-16	3.49434163133026e-13
Prevotella sp900313215	35261.8308018868	-4.09206022625287	0.511192357843025	-8.0049323184707	1.19532396840139e-15	5.78337580044874e-13
Prevotella sp002251385	3128.70148804208	-3.74143916954591	0.487600197294621	-7.67316992549375	1.67796959953099e-14	6.9587796391978e-12
CAG-1024 sp000432015	294.572410956485	-3.1783872488304	0.426037732679998	-7.46034213645045	8.62980950783422e-14	3.06694763554416e-11
RC9 sp900544195	1985.57220992615	-3.55637704494039	0.477522483907979	-7.4475593606305	9.50827720285824e-14	3.06694763554416e-11
Phocaeicola plebeius_A	8524.60028333279	-2.48219511325364	0.334034704045003	-7.43094978813705	1.07820639059145e-13	3.13003315188699e-11
CAG-1031 sp000431215	573.848133700155	3.57530080620349	0.490328127577656	7.29164941825054	3.06183060469689e-13	8.0804493140319e-11
RC9 sp900545245	868.102198068849	-2.61527930995688	0.386367199803498	-6.76889578433931	1.29768971394702e-11	3.13932769965684e-09
UBA1777 sp900547315	3484.6764286421	-2.22362599813742	0.352570067467961	-6.30690521775359	2.84670035375138e-10	6.35690086687712e-08
Bradyrhizobium sp003020075	50.0350495594588	-3.10172470823507	0.49525095044466	-6.26293539760034	3.77797164677595e-10	7.83389406470755e-08
F0422 sp003999875	407.793741377668	3.06588317973249	0.509292452442065	6.0198873260963	1.74538523681865e-09	3.37790222832302e-07
Succinivibrio sp000431835	723.10803849472	-7.35269919129242	1.23640566604453	-5.94683395039344	2.73378479804063e-09	4.96011079294496e-07
UBA4372 sp900543815	514.354877625666	4.60757870324423	0.783225748184403	5.88282332893813	4.03326386012584e-09	6.88739116820312e-07
UMGS1590 sp900552455	203.728717428923	-2.39343201181009	0.409975297143403	-5.83799079721847	5.28340749250723e-09	8.52096219486028e-07
Victivallis sp900551245	243.210277839629	-4.04638642450262	0.698917619596711	-5.78950410040809	7.05945336613951e-09	1.07861016431068e-06
Butyrivibrio_A crossotus	3601.10769440592	-1.31291844119729	0.227709997909567	-5.76574789535025	8.12965083149488e-09	1.18001881819148e-06
RC9 sp000433355	6004.2473062839	-2.79718894947534	0.486485387963858	-5.74979026848624	8.93542223521059e-09	1.23521574994364e-06
Firm-10 sp004552515	357.643953816531	-2.69135559478776	0.470567417267735	-5.71938365476861	1.06911149972214e-08	1.41074121986063e-06
Phocaeicola plebeius	20573.9913230482	-1.79125087736908	0.327181281690211	-5.47479632121836	4.38015116032543e-08	5.52851252974987e-06
51-20 sp001917175	9710.83530287408	3.47978627651722	0.637184938679257	5.46118727120268	4.72960806984051e-08	5.72085509447792e-06
Victivallis sp900550905	290.164710181646	-3.53682304905833	0.64993455539764	-5.44181413295443	5.2740688896555e-08	6.12424879466797e-06
Mitsuokella jalaludinii	109.883923882901	-3.44338807243917	0.642014822900181	-5.36340898935061	8.16658078997281e-08	9.1183015512658e-06
CAG-313 sp003539625	2566.84596471892	-2.1117040080041	0.405019386554911	-5.21383439436375	1.84976618384568e-07	1.98884119692741e-05
Prevotella sp900546575	3304.04024497204	-2.41093892691129	0.464815199163116	-5.18687627093973	2.13850705745815e-07	2.21717356707179e-05
Zag1 sp900769645	537.168087333196	-1.68526938797931	0.326063847022386	-5.16852574539984	2.35947789426464e-07	2.36124124499656e-05
Enterococcus faecalis	264.085748905409	2.23739129390654	0.433418228860115	5.16219933755638	2.44065186399028e-07	2.36124124499656e-05
CAG-611 sp900552235	277.676457310766	-2.74133974527376	0.531669345139082	-5.15609893693728	2.52147704426088e-07	2.36124124499656e-05
CAG-110 sp900549705	856.386135228439	-1.31378969501997	0.255951289413442	-5.1329676753368	2.85208905381072e-07	2.58737953850391e-05
