	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1XD42-69 sp014287635	2130.63760052049	-0.570895460237895	0.257462991585369	-2.2173884359943	0.0265965592544202	0.155157667657759
28L sp000177555	2.2469881023694	-0.668410126635165	1.36935290526789	-0.488121158587969	0.625464024904513	NA
43-108 sp001915545	500.585113184889	-0.486054785443849	0.244389995986449	-1.98884894400833	0.0467178786061127	0.225994675672814
51-20 sp001917175	9710.83530287408	3.47978627651722	0.637184938679257	5.46118727120268	4.72960806984051e-08	5.72085509447792e-06
51-20 sp900539605	97.9943598062347	1.57522581008321	0.888225540489369	1.77345250533477	0.0761537552729786	0.292813710672128
51-20 sp900542055	140.714134320488	0.179000453586973	0.551462356521972	0.324592334308934	0.745489629689664	0.904441044556694
51-20 sp900762565	174.886666343093	-0.0919526590871728	0.584403580802652	-0.157344448439005	0.874973391712102	0.955264293396101
AF33-28 sp003477885	1764.9926517281	0.133937944201238	0.154461160034454	0.867130249257232	0.385870648255619	0.687506522861578
AM07-15 sp003477405	2693.37478747087	0.136331294450417	0.158159244071537	0.861987519292598	0.388694385853929	0.687506522861578
AM51-8 sp003478275	3214.31659893704	0.314364555988268	0.28487892113881	1.10350233963113	0.269809076089594	0.578376957662237
AM51-8 sp900546435	1492.32257617203	-0.72433428271871	0.197276425206284	-3.67167177710821	0.000240969030639815	0.00582944246622818
AM51-8 sp900761925	516.545100168117	-0.0461944925510249	0.243240252553974	-0.189913026589933	0.849377284496239	0.944764651169022
Absicoccus porci	32.1052526387267	0.56987343216922	0.415373996921993	1.37195259306577	0.170078196290844	0.457963105622266
Absicoccus sp000434355	620.057997380357	0.942322856317001	0.279420983199149	3.37241264248715	0.000745127197922695	0.0138691106352944
Acetatifactor sp003447295	21096.4439972221	-0.614156160208808	0.298948640316005	-2.05438686578274	0.0399382632583852	0.207960598173874
Acetatifactor sp900066365	91380.2170540986	-0.810845900792389	0.317653513835304	-2.55261114855098	0.0106918789280371	0.0864582855935702
Acetatifactor sp900066565	91608.6244740439	-0.767547430173849	0.309323615563414	-2.48137352453937	0.0130877146476474	0.099669162317851
Acetatifactor sp900554205	591.99303731949	-0.105659370935114	0.147086728284374	-0.718347414260484	0.472543101883876	0.757275817516755
Acetatifactor sp900755865	1565.16402770401	-1.16495989030807	0.283630398809874	-4.1073167586983	4.00282110911115e-05	0.00145252370996871
Acetatifactor sp900760705	1276.73004654661	-0.382893851056926	0.214694291377843	-1.78343750362261	0.0745151128459609	0.292497776161602
Acetatifactor sp900766575	2353.89531957057	-0.56011502169375	0.222616119212523	-2.51605779345668	0.0118675720723399	0.0928613523611933
Acetatifactor sp900771995	5032.67007247602	-0.757313248312224	0.247997858554434	-3.05370882122354	0.00226031350637625	0.0308060568498134
Acetatifactor sp900772845	7686.15698970137	-0.726085618346277	0.271354761883625	-2.67577990268574	0.0074555588799514	0.0676190190298618
Acetivibrio_A ethanolgignens	1367.1407009724	0.180723816763072	0.1110920372082	1.6267936145988	0.103780938259445	0.348483954440869
Acetomicrobium hydrogeniformans	0.924562904058631	-1.16231910078983	2.00486197955916	-0.579750183623813	0.562083096144167	NA
Achromobacter xylosoxidans	16.8865367425704	-0.0724307976439321	0.445340882326907	-0.162641249699513	0.870800906822998	0.953937748115911
