	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Prevotellamassilia sp900539625	2834.5881585188	-5.29356659559487	0.442538954287625	-11.9618093374766	5.63211829773217e-33	1.78087580574291e-29
Eisenbergiella sp900544445	1309.33666241164	-4.37635821047598	0.419024347146242	-10.4441621120135	1.55825301445975e-25	2.46359801586086e-22
Lachnospira sp000436535	19258.4357783796	-3.69337178253328	0.386564621165983	-9.55434507015431	1.24368036518335e-21	1.31083910490326e-18
Peptostreptococcus anaerobius	285.231750492385	-3.37039761044351	0.355637051366858	-9.477071068635	2.61520472240481e-21	2.067319333061e-18
Butyrivibrio_A crossotus	7902.04812577502	3.15808691908042	0.342843166593265	9.21146234431747	3.21711777582657e-20	2.03450528143272e-17
UBA6398 sp003150315	2432.8863513102	-3.99621765102531	0.443660149389175	-9.00738472122692	2.11028704169917e-19	1.11212127097546e-16
Ruminococcus_C sp000437255	892.016343498168	3.93903943399328	0.457116224336864	8.61715079071547	6.86407140763125e-18	3.10059911299e-15
Blautia_A hydrogenotrophica	5276.46949743995	-3.24810846729904	0.396545599259332	-8.1910087348488	2.590457874507e-16	1.02387847489889e-13
Prevotella disiens	1078.29367638143	-2.9831680766533	0.382560054721884	-7.7979079097059	6.29419132565975e-15	2.21135921908179e-12
CAG-460 sp900546715	1358.34846193101	2.94837239345974	0.388321174032632	7.59261299825997	3.13517866242273e-14	9.91343493058067e-12
Prevotellamassilia sp900540885	1115.01894558593	-3.3026436114895	0.441392697397439	-7.48232499305653	7.30190981287474e-14	2.09896716620999e-11
Phocaeicola sp000434735	3759.64842294245	-2.48429842329976	0.335620880399882	-7.40209733178637	1.34050184629138e-13	3.53222236497778e-11
Blautia sp002161285	321.648108160063	-1.86383309256746	0.255128099138894	-7.30547947818467	2.76279747821224e-13	6.46663656924155e-11
Parvimonas micra	178.658409957498	-2.94826459693596	0.403834202922822	-7.30068076353457	2.863153446217e-13	6.46663656924155e-11
CAG-81 sp900066785	6899.26394127965	-1.82892357601024	0.25700947319915	-7.11617184084516	1.10965932607483e-12	2.33916185936574e-10
Klebsiella aerogenes	250.345310612178	-6.71881837999953	0.949044511027663	-7.07956086561643	1.4461197461778e-12	2.85789414838387e-10
Frisingicoccus sp900757195	323.284156299808	2.69217494256318	0.3817472749553	7.05224403469131	1.7605507900228e-12	3.2746244694424e-10
Prevotella sp900313215	37629.9629388023	-3.88073055022955	0.553420844720441	-7.01225945363495	2.3449981475829e-12	4.11938007925396e-10
Prevotellamassilia sp900541575	664.429605747951	-3.05681996041241	0.440356998422641	-6.94168588522935	3.87447972665976e-12	6.44794994510429e-10
Enterocloster sp900547035	1150.70922878697	-2.15369425120068	0.310786162661232	-6.92982671029752	4.21356441444064e-12	6.5913756903036e-10
Faecalimonas phoceensis	4634.77742401948	-2.43343198125629	0.351427423348337	-6.92442256802555	4.37757398786766e-12	6.5913756903036e-10
Anaerostipes caccae	859.406980502419	-2.74026563680405	0.401837514933559	-6.81933750575063	9.14612995384733e-12	1.31454831427569e-09
Prevotella sp900557405	827.692554019812	-3.00991543222069	0.447517810993327	-6.7258003106955	1.74629920202202e-11	2.40078177251897e-09
