	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CAG-312 sp900760665	19.8055360886895	-24.3647823799161	1.47962612269545	-16.4668506497645	6.34908273474032e-61	2.17900519456288e-57
UBA11512 sp003522145	4914.59329915199	-7.51669511702296	0.613439737941717	-12.2533553862093	1.6118620543912e-34	2.76595528533531e-31
Collinsella sp900551555	9.84900032641545	-23.3936370962551	2.06855494738793	-11.3091688116844	1.18203959291993e-29	1.3522532943004e-26
CAG-433 sp000433675	5081.37683685249	-7.05424118759452	0.65856381287693	-10.7115530031602	8.98418726983232e-27	7.70843267751613e-24
CAG-269 sp000437215	4861.26293574079	-6.84669603183087	0.653640510257601	-10.4747119010916	1.12880782757095e-25	7.74813692844702e-23
Phil1 sp001940855	6482.20474130773	-5.22561270351207	0.503497859703981	-10.3786194971799	3.10228605149558e-25	1.77450762145547e-22
Collinsella sp900761615	7.56735092670047	-20.067555062573	2.0815134675248	-9.64084805390958	5.37421319125066e-22	2.63489995319604e-19
Methanobrevibacter_A smithii	2741.51353287877	-5.43102663853271	0.575229957446023	-9.4414878227936	3.67523194907921e-21	1.57667450615498e-18
UMGS1312 sp900550625	984.270348422358	-4.71643560102861	0.509534346607352	-9.25636442848691	2.1151147227404e-20	8.06563747605005e-18
CAG-273 sp003534295	5016.18945031808	-5.15396536223837	0.568715358591804	-9.06246909701911	1.27530427531153e-19	4.37684427286918e-17
Holdemanella biformis	7599.8197304044	-4.57635945927658	0.521995807686857	-8.76704255452932	1.83420474781697e-18	5.72271881318896e-16
CAG-1427 sp900547965	7.98882428489285	-23.0951277752749	2.69112395899602	-8.58196356881718	9.32671817253077e-18	2.6674413973438e-15
CAG-433 sp900546245	2017.23270580268	-5.74817381184259	0.675180262076291	-8.5135394719123	1.68703031977045e-17	4.45376004419399e-15
CAG-273 sp000437855	6017.68564599559	-4.55852434375153	0.540023336560118	-8.44134694768704	3.13701489618984e-17	7.69016794551681e-15
CAG-312 sp001917305	6.75981583560155	-22.8681274719518	2.72920512183374	-8.37904314666787	5.33597124561335e-17	1.22087022099633e-14
CAG-841 sp000437375	646.898236665741	-4.3399424870698	0.53963399332647	-8.04238157851595	8.81090212626386e-16	1.8899385060836e-13
CAG-269 sp001916035	2014.10475376249	-3.7797320137438	0.472756348690356	-7.99509519906932	1.2947378642946e-15	2.61384726485826e-13
UBA1820 sp003150615	2351.0589297995	-3.6169501705395	0.467416664429983	-7.73817119881763	1.00856983713315e-14	1.9230064894672e-12
UBA1685 sp002320595	1771.05626643286	-3.93368666177637	0.509269339119403	-7.72417728618467	1.12578066772223e-14	2.03351539559089e-12
CAG-83 sp003539495	17438.6958182062	-3.97276372358066	0.516645496428654	-7.68953518620146	1.47670520826185e-14	2.53402613737734e-12
Fusobacterium_A varium	1870.1954257325	4.58865347585647	0.598301928230324	7.66946128592455	1.72720223157783e-14	2.82274193275005e-12
CAG-492 sp000434335	8460.1890167393	-4.64697707450134	0.608629728990129	-7.63514638401225	2.25563990773447e-14	3.51879825606578e-12
Eisenbergiella tayi	6113.11738125108	-3.2362109316905	0.427123200865117	-7.5767622202112	3.54285238696091e-14	5.28655190958689e-12
UMGS911 sp900545935	3835.77639237542	-4.47649797985254	0.608142814743595	-7.36093212207057	1.82630421044509e-13	2.61161502093648e-11
UMGS1537 sp900543695	869.659869213572	-3.5693488491275	0.48619440464889	-7.34140256448474	2.11367002858255e-13	2.90164621523812e-11
Mailhella sp900541395	559.853630434098	-6.3561224056824	0.869845459633574	-7.307185817076	2.72795201639474e-13	3.60089666164106e-11
CAG-273 sp000435755	748.083861369566	-4.66630656354843	0.646110254254246	-7.22215215255231	5.11711709367154e-13	6.50442439462249e-11
SFEL01 sp004557245	13909.7775113301	-4.22928068824156	0.591040591335247	-7.15565182872973	8.32762609449154e-13	1.02072902701053e-10
Clostridium_Q sp000435655	1543.02257331435	3.02010093761858	0.427679384129863	7.06160046447678	1.64595675797257e-12	1.94790468736615e-10
Acidaminococcus massiliensis	4741.25545196122	-4.95741135860616	0.703434964317212	-7.04743382128874	1.8224745350061e-12	2.08491086804698e-10
CAG-272 sp000433515	413.677754893163	-3.79249089139226	0.547053782661896	-6.9325741117052	4.13250920571017e-12	4.57508761096687e-10
UBA9502 sp900555625	621.688817373989	2.91086096448908	0.422515088028741	6.88936572199068	5.6041694379497e-12	6.01047172220105e-10
D5 sp900113995	867.558092885314	-3.40137080960578	0.496053139155781	-6.85686782548031	7.03866976831829e-12	7.32021655905102e-10
CAG-269 sp000431335	11670.9748327767	-4.04122765035921	0.592632879144563	-6.81910807276257	9.16074696291404e-12	9.24696575785911e-10
NSJ-50 sp014385105	421.519875811258	-3.90215802658504	0.573627117681589	-6.8026038279994	1.02744914770977e-11	1.00748727855427e-09
CAG-521 sp000437635	745.281627808914	-5.31651810323469	0.794585122490489	-6.69093587678936	2.21747822128932e-11	2.11399590429582e-09
Ruminococcus_E sp900314705	2529.41669428988	3.12857159192906	0.47126837262792	6.63861988973141	3.16633751307039e-11	2.93699198509664e-09
UBA737 sp900549755	2630.62499418755	-4.16737482934333	0.632570619278515	-6.58799935111827	4.4579259501393e-11	4.02621101602054e-09
Firm-11 sp900548145	761.730974762813	-2.82896104130998	0.43168640406798	-6.55327806169334	5.62875646180498e-11	4.95330568638838e-09
TF01-11 sp003524945	3642.66280802985	-2.50856574042952	0.383669691496531	-6.53834742756113	6.22022954591272e-11	5.33695695039311e-09
CAG-83 sp003487665	3660.34539091431	-3.07169700019177	0.47091166759017	-6.5228729963536	6.89732643021715e-11	5.77356690451348e-09
CAG-448 sp003150135	2250.89385761356	-2.92336875702306	0.452831241960853	-6.45575765568707	1.0767880692763e-10	8.79889679465777e-09
Ligilactobacillus salivarius	1756.06572650389	-3.75271537691922	0.583713925671337	-6.42903177717265	1.2841928193039e-10	1.02496505950023e-08
Desulfovibrio legallii	221.050326534838	-3.70922386979864	0.580707391925254	-6.38742320379499	1.68704281738687e-10	1.31589339756176e-08
Angelakisella sp004557855	3615.72593423403	-3.021306799381	0.474182226676304	-6.37161544530741	1.87047413904416e-10	1.42654827671101e-08
CAG-115 sp003531585	1358.88034303942	-4.06348522041375	0.639063218430872	-6.35850273215701	2.03729762388873e-10	1.52000118373611e-08
CAG-83 sp900545585	4407.64152502756	-2.40558733354388	0.383974065428133	-6.26497347122036	3.72888884644321e-10	2.72288223850917e-08
