	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Collinsella sp900766165	12.0703443359105	-23.1620629393441	1.69304079939346	-13.6807470603438	1.32326157908441e-42	3.81760965565852e-39
Collinsella sp900544845	14.3043422423825	-25.0882214775148	1.8847903282785	-13.3108819061214	2.0010567813034e-40	2.88652440703015e-37
CAG-882 sp003486385	5282.90116453686	4.12015254460677	0.377608186862832	10.9111843650345	1.01919755751333e-27	9.80128317808655e-25
Ligilactobacillus ruminis	1121.107031575	-4.92762812450478	0.474768570657177	-10.3790108045357	3.08959784761359e-25	2.2283724475913e-22
COE1 sp001916965	7478.92477074726	3.34700087357231	0.326072031139946	10.2646058353156	1.01735588434909e-24	5.87014345269427e-22
Clostridium_AQ innocuum	9908.67439740061	-3.37713839022136	0.345818819344102	-9.7656292871123	1.5812724684127e-22	7.60328511895104e-20
Collinsella sp900541055	18.8617977785743	-25.4739657847899	2.62300638104732	-9.71174373377568	2.68700336959404e-22	1.10742924589697e-19
Coprobacillus cateniformis	3228.65873006304	-3.57007317011127	0.371173614062056	-9.61833771275131	6.69035760730003e-22	2.41271021213257e-19
Enterococcus_B faecium	456.213980392836	-3.96605797344191	0.425936275882521	-9.31138810664675	1.26172443730335e-20	4.04452777957796e-18
Bifidobacterium breve	7946.27930853821	-5.56950021535347	0.610862014777252	-9.11744400637576	7.69169139546965e-20	2.21905296759299e-17
Collinsella sp900544865	7.084320666148	-24.1033928006204	2.67803300345689	-9.00040916953112	2.24877994221129e-19	5.89793648479962e-17
CAG-279 sp000437795	5048.664434692	3.29356478632848	0.387434719372467	8.50095415212946	1.88038632809487e-17	4.52076213046141e-15
Lachnospira sp000436535	25019.3790783214	3.47410873108	0.410255167513146	8.46816568366241	2.4928755382547e-17	5.53226609835755e-15
Eubacterium callanderi	390.092438241603	-2.4141377230715	0.297606098650106	-8.11185568448244	4.98524886997555e-16	1.02731735641996e-13
Phascolarctobacterium_A succinatutens	1093.8461263803	3.66071851024294	0.463923139351432	7.89078664056431	3.00287656155744e-15	5.77553258672881e-13
Eisenbergiella sp900548905	114.697311970363	-2.24418679850912	0.292412014237689	-7.67474210784277	1.6575178153681e-14	2.98871181083561e-12
Anaerostipes caccae	904.823538837737	-2.69759792152007	0.357295607045478	-7.55004502805631	4.35107784442214e-14	7.38403504773993e-12
Emergencia timonensis	1448.48463643539	-2.45143831175455	0.333359589695324	-7.35373568822501	1.92742684759339e-13	3.08923691961496e-11
Enterococcus_A avium	244.561232832712	-2.68184106836724	0.370152319491662	-7.24523642604825	4.31685504196085e-13	6.55480357687213e-11
Enterococcus faecalis	272.916551348435	-3.91348090916661	0.548217427053214	-7.13855619330165	9.43163131736387e-13	1.36051281752974e-10
CAG-115 sp003531585	778.526916451088	5.32774839141738	0.749687917628922	7.10662165700594	1.18917838162321e-12	1.63370458618236e-10
CAG-492 sp000434335	3276.78273218037	4.02557646202755	0.572755274305905	7.02844066675066	2.08854400222942e-12	2.73884065746903e-10
Phascolarctobacterium sp000436095	327.774050548608	-4.63395591467211	0.662866097639186	-6.99078732669548	2.73347860543545e-12	3.42873294638317e-10
Clostridium_AQ sp003481775	611.113922732253	-1.69444911193829	0.244342531252086	-6.93472848650382	4.07002091046215e-12	4.89250430278471e-10
Prevotellamassilia sp900539625	822.326164006665	2.40101811791586	0.348739960142892	6.88483796617994	5.78533474809574e-12	6.67627629930248e-10
Caecibacter sp003467125	949.987093563171	-4.06192513633213	0.598091630936639	-6.79147629932719	1.10991820333642e-11	1.19950505701657e-09
