	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CI_5	CI_95
1XD42-69 sp014287635	570.865961530793	0.612645873000611	0.300970826963194	2.03556563665066	0.0417939913456444	0.118910912260537	0.0227538917555132	1.20253785424571
28L sp000177555	1.86638115695651	-3.32711252889067	1.93398380664514	-1.72034146173239	0.0853703909566407	NA	-7.11765113659881	0.463426078817478
43-108 sp001915545	440.356925784534	0.400337069526428	0.242940776738609	1.64787926876997	0.0993774483611608	0.219192613548891	-0.0758181032574313	0.876492242310287
51-20 sp001917175	10.0531511213143	1.83095750138185	1.34165311293655	1.36470260734858	0.172346539828193	0.322451211027456	-0.798634279719839	4.46054928248354
51-20 sp900539605	0.186079800278435	-0.00112089594144279	2.90410628186344	-0.000385969325035707	0.999692041042257	NA	-5.69306461567032	5.69082282378743
51-20 sp900542055	8.02772049182806	1.1716427715179	0.927391875720975	1.26337398697507	0.206454808138345	0.365861253979806	-0.646011904450258	2.98929744748606
51-20 sp900762565	4.49619944174398	-0.965111222015864	1.60395187335928	-0.6017083417812	0.547368296326841	0.697306953689663	-4.10879912673561	2.17857668270388
AF33-28 sp003477885	919.40699668333	-0.968125255052343	0.233157463923168	-4.15223788577221	3.29239754337433e-05	0.00047256551804154	-1.42510548706845	-0.511145023036238
AM07-15 sp003477405	1208.61472019522	0.0874387153913898	0.223138915882696	0.391857758408024	0.695163315821142	0.808143130516907	-0.349905523288006	0.524782954070786
AM51-8 sp003478275	3319.17765803881	0.659995811277912	0.333262203995741	1.98041002959444	0.0476574738800532	0.131697138068921	0.00681389403782007	1.313177728518
AM51-8 sp900546435	446.708824474596	0.60319556745026	0.246774766713392	2.44431623007396	0.0145126995573679	0.055309297520484	0.119525912398738	1.08686522250178
AM51-8 sp900761925	119.410397621021	-1.76780876854238	0.292584602018958	-6.04204307521226	1.52174822941633e-09	9.75609698192472e-08	-2.34126405093052	-1.19435348615424
Absicoccus porci	10.8130925479336	-1.99025387437136	1.0468875513072	-1.90111523619343	0.0572869203484268	0.147714673335354	-4.0421157707968	0.0616080220540856
Absicoccus sp000434355	143.60122715266	-0.0860343660525446	0.257450261769098	-0.334178592250596	0.738244797229578	0.836542120976958	-0.590627606930386	0.418558874825296
Acetatifactor sp003447295	11757.7323644739	0.748176767125324	0.392963392655481	1.903935025778	0.0569186467544027	0.147155849419514	-0.0220173297220908	1.51837086397274
Acetatifactor sp900066365	57181.5134600171	1.10037230982711	0.401415154420124	2.74123260597045	0.00612091586424343	0.0285280165885982	0.31361306431508	1.88713155533914
Acetatifactor sp900066565	46144.5432322985	0.434465447218185	0.356429972820767	1.21893634191269	0.222868354779423	0.38279615808694	-0.264124462521109	1.13305535695748
Acetatifactor sp900554205	258.652675967045	0.118542539976098	0.253228056754224	0.468125615682276	0.639694761920156	0.768646142498812	-0.377775331137247	0.614860411089442
Acetatifactor sp900755865	237.404402548651	0.403676764435205	0.246842436158894	1.6353620986602	0.101973162789065	0.222797564559246	-0.0801255202923556	0.887479049162765
Acetatifactor sp900760705	384.428873554991	0.160300108406082	0.259024395186081	0.618861047010353	0.536007901704266	0.687281242851915	-0.347378377275907	0.667978594088071
Acetatifactor sp900766575	2258.51681628782	0.919829104938333	0.337915715338271	2.7220666668833	0.00648750535021667	0.0299644814093001	0.257526473065232	1.58213173681143
Acetatifactor sp900771995	2562.58804098644	0.961984841250935	0.323767348959785	2.97122252858926	0.00296616771025267	0.0163621297209922	0.327412497919744	1.59655718458213
Acetatifactor sp900772845	4743.96282068721	1.05502754513285	0.380750268368576	2.77091740382322	0.00558986042425791	0.0266731661069077	0.30877073202648	1.80128435823922
Acetivibrio_A ethanolgignens	521.63543352887	0.183424289518905	0.155612726482386	1.1787229339476	0.238508520346156	0.39843490515267	-0.121571049922655	0.488419628960464
Acetomicrobium hydrogeniformans	2.70867332185294	-3.17024743915842	1.76899580521421	-1.79211699078876	0.0731142277578393	NA	-6.6374155061807	0.296920627863857
Achromobacter xylosoxidans	5.30248682854598	-1.51739121159523	1.20255796207682	-1.26180297286852	0.207019692189675	0.366162498763616	-3.87436150658768	0.839579083397213
Acidaminococcus fermentans	95.8493082307074	-1.73552406290822	0.304073892386196	-5.70757341016301	1.1459819976142e-08	5.64977565228345e-07	-2.33149794062407	-1.13955018519237
Acidaminococcus fermentans_A	146.425307511878	-2.18536518492792	0.384455745629545	-5.68430881777925	1.31342757032845e-08	6.3153975673293e-07	-2.93888460001132	-1.43184576984452
Acidaminococcus intestini	436.624039886553	-6.69427863736742	1.13750144327041	-5.88507265372852	3.9787917043677e-09	2.29576281342016e-07	-8.92374049853976	-4.46481677619509
Acidaminococcus massiliensis	226.963867740087	-4.14273940538946	0.845073968730965	-4.90222105836551	9.4759115541376e-07	2.41929246315814e-05	-5.79905394837447	-2.48642486240444
Acidaminococcus provencensis	391.587285140835	-3.58939555321525	0.744788334451124	-4.81934985711138	1.44026795118833e-06	3.40911218036996e-05	-5.04915386484502	-2.12963724158547
Acidaminococcus sp000437815	47.1345665426359	-4.8228939448334	1.07807977294259	-4.47359654255404	7.69148068891762e-06	0.000138687011172046	-6.93589147226199	-2.70989641740481
Acidaminococcus sp900538365	63.8248842689604	-2.51852283815971	0.737169979334041	-3.41647504478539	0.000634374778063519	0.00501416776633768	-3.96334944813857	-1.07369622818086
Acidaminococcus sp900554515	8.0182515022749	-3.29321950031804	1.34163375511429	-2.45463375363383	0.0141028189148892	0.0541045645870418	-5.92277334078527	-0.663665659850798
Acidaminococcus sp900770265	17.9767521168396	-2.75579176131033	0.990100937859222	-2.78334425909024	0.00538016855433152	0.0259561643465659	-4.69635394057373	-0.81522958204692
Acidaminococcus timonensis	36.1833780140024	-4.91277628570734	0.938916354436966	-5.2323897251245	1.67332481894146e-07	5.67469389275724e-06	-6.75301852489944	-3.07253404651524
Acidovorax sp000302535	8.19360143234562	-0.397757415892297	1.2354724042892	-0.321947632752782	0.747492366941937	0.841074679651906	-2.81923883219224	2.02372400040765
Acidovorax temperans	1.89244170631329	1.03608719642629	1.93103318983999	0.536545514534706	0.591581588649738	NA	-2.74866830861159	4.82084270146418
Acinetobacter baumannii	1.02642114319445	-1.21036100029714	2.89657043804331	-0.417860026602618	0.676049460058414	NA	-6.88753473754543	4.46681273695116
Acinetobacter courvalinii	0.438369802845453	2.0626993739489	2.90021279854867	0.711223457458403	0.47694577465801	NA	-3.62161325870861	7.74701200660641
Acinetobacter johnsonii	1.27916717624167	2.75844031954492	2.67270448562402	1.03207830659246	0.302035435434716	NA	-2.47996421359681	7.99684485268666
Acinetobacter junii	4.31038674576029	-0.351437122059272	1.49127070876079	-0.235662861206003	0.813694290707976	0.886521158871794	-3.27427400242994	2.5713997583114
Acinetobacter mesopotamicus	0.855349473245222	2.97994454142992	2.89785575873615	1.0283274219037	0.303795836113802	NA	-2.69974837808492	8.65963746094475
Acinetobacter nosocomialis	1.43570606540173	0.56667571385614	2.33050787693003	0.243155459574168	0.807884969581884	NA	-4.00103579061361	5.13438721832589
Acinetobacter pittii	6.02010652862799	0.58701331445894	1.52765610827742	0.384257498319339	0.700787605778972	0.810329556181296	-2.40713763852743	3.58116426744531
Acinetobacter radioresistens	0.426519495820708	2.02426152732671	2.90033886872895	0.697939661172703	0.48521492964854	NA	-3.66029819834368	7.7088212529971
Acinetobacter sp900766635	0.605647714550267	1.94558031797749	2.89944747883005	0.67101761014224	0.502209311104167	NA	-3.73723231559488	7.62839295154985
Acinetobacter sp900771065	1.14311353430481	2.69842244844878	2.68183435277384	1.00618535431086	0.314326415939029	NA	-2.55787629549022	7.95472119238779
Acinetobacter ursingii	3.58039276044556	-1.0762738591376	1.27335008486433	-0.845230131077643	0.397982362292642	NA	-3.5719941651827	1.4194464469075
Acinetobacter variabilis	2.36215952317543	1.60505663995549	1.65290123808246	0.971054170071	0.331521304120068	NA	-1.63457025668779	4.84468353659877
Actinobaculum massiliense	1.79435538541259	-1.24356567490451	2.3420711827458	-0.530968351460001	0.595440710765095	NA	-5.8339408423154	3.34680949250638
Actinomyces graevenitzii	54.7133847157093	0.74197549849263	0.571051892787684	1.29931361381284	0.193836324210008	0.348857015187694	-0.37726564467466	1.86121664165992
Actinomyces oris	86.7945291994206	-0.186390512300841	0.359860969268743	-0.517951454084051	0.604492140672808	0.737715662369311	-0.891705051509252	0.518924026907569
Actinomyces sp000220835	22.7744997365011	-0.878311523667147	0.627808617001565	-1.39901157754411	0.161809511285203	0.310591264100744	-2.10879380217412	0.352170754839822
Actinomyces sp900323545	30.507663669237	-0.415145150645003	0.500964464458717	-0.828691813686945	0.407278819240147	0.572054232477032	-1.39701745851848	0.566727157228478
Actinomyces urogenitalis	2.61910813046018	-2.18353565369623	1.64542602718443	-1.32703361781179	0.184497562302953	NA	-5.40851140620253	1.04144009881008
Acutalibacter sp000432995	24.4638582099399	-0.713702793027766	0.549109362099987	-1.29974617496652	0.193687978802118	0.348807627243515	-1.7899373663175	0.362531780261972
Acutalibacter sp000435395	22.1005892061413	-1.08761250755259	0.530711213560003	-2.04934902403305	0.0404279980757155	0.116285916698344	-2.12778737232174	-0.0474376427834355
Acutalibacter sp900543305	29.2501445676638	-0.666518829299231	0.31983749948263	-2.08392959042449	0.0371665722924315	0.10907991969854	-1.29338880919053	-0.0396488494079277
Acutalibacter sp900543555	84.0831874571742	-0.66224556083963	0.343275485601065	-1.92919561290565	0.0537065826102973	0.142288315853135	-1.33505314939322	0.0105620277139554
Acutalibacter sp900548545	89.0857796136663	-1.46352757442034	0.357959767334845	-4.08852532595183	4.34124156996233e-05	0.000593577342622811	-2.16511582631097	-0.761939322529704
Acutalibacter sp900755895	748.258201241486	-0.825899788841709	0.212038261408069	-3.89505074865833	9.81781720269654e-05	0.0011421130092653	-1.24148714454601	-0.410312433137405
Acutalibacter sp900759575	88.8602647715347	-0.376091305944942	0.260717516996596	-1.44252411681971	0.149154573120256	0.293527246556575	-0.887088249396979	0.134905637507095
Acutalibacter timonensis	74.0128791474304	-1.74750611839532	0.380842892465321	-4.58852233550466	4.463945522963e-06	8.986131522461e-05	-2.49394447139541	-1.00106776539523
Adlercreutzia celatus_A	769.743120062012	0.0747313859144232	0.573415414081954	0.130326782432365	0.896307891454969	0.935085925152438	-1.04914217386633	1.19860494569517
Aeromicrobium massiliense	0.820333013921033	-2.45446225077328	2.89909934628317	-0.846629231219707	0.397201815519968	NA	-8.1365925570919	3.22766805554535
Aeromonas caviae	2.71043197485069	-1.74000331243204	2.35013144557121	-0.740385528524821	0.459066097255314	NA	-6.34617630468667	2.86616967982258
Aeromonas dhakensis	6.02072785629103	-1.62380244234599	1.56221112782503	-1.03942573025114	0.298606782620875	0.465413596899636	-4.68567998913074	1.43807510443877
Aeromonas hydrophila	18.5624528995613	0.141119419831953	1.08118602496733	0.130522793093091	0.89615282211332	0.935085925152438	-1.97796624969204	2.26020508935594
Aeromonas rivipollensis	2.33574048025182	-0.437180968923371	1.85508064609004	-0.235666826585043	0.813691213443224	NA	-4.07307222367715	3.19871028583041
Aeromonas veronii	17.6458174975133	-1.11695438324149	0.990406287230122	-1.1277739223216	0.259415409261907	0.420456997595843	-3.05811503627456	0.824206269791583
Aeromonas veronii_A	0.756959420574127	2.41692824363605	2.89830467262318	0.833911033048348	0.404331119516326	NA	-3.26364453092953	8.09750101820163
Afipia broomeae	2.09441030149404	2.46563197408151	2.89458511544656	0.851808420116584	0.394320432226174	NA	-3.20765060237945	8.13891455054248
Agathobacter faecis	76056.4836727134	0.158752493144172	0.381523934421523	0.416101006572175	0.677336093431117	0.79759780797909	-0.589020677562033	0.906525663850378
Agathobacter rectalis	85113.3953963594	0.544564616357586	0.407640740785853	1.3358935009974	0.181584085487351	0.3332506912411	-0.254396554213913	1.34352578692908
Agathobacter sp000434275	3825.6946150244	0.350941409393924	0.199016826627718	1.7633755664811	0.0778371679326613	0.184065761873547	-0.0391244031138562	0.741007221901703
Agathobacter sp900543445	817.162158471649	0.426702379267353	0.31394073789625	1.35918129684835	0.174089146421413	0.324533944427396	-0.188610160289225	1.04201491882393
Agathobacter sp900546625	16991.1952520841	0.379036176254958	0.421478660686335	0.899300988661529	0.368492360913474	0.53335179391025	-0.447046818942436	1.20511917145235
Agathobacter sp900547695	3677.08444758114	-0.0769843596650915	0.242586462392532	-0.317348127780198	0.750979462443871	0.843353736531946	-0.552445089091435	0.398476369761252
Agathobacter sp900548765	520.988086695857	0.344978739490591	0.262603688284731	1.31368581204596	0.188951957468271	0.341986447488057	-0.169715031754865	0.859672510736047
Agathobacter sp900549895	419.518393992867	0.625076555216546	0.275903079560783	2.26556570594145	0.0234779867943499	0.0779447547775598	0.0843164560537216	1.16583665437937
Agathobacter sp900550545	1228.99562049219	-0.0025560424088571	0.285469211409415	-0.00895382866767816	0.992855973803457	0.995616782906839	-0.562065415466361	0.556953330648647
