	Healthy	T2D
Bacteroides pyogenes	-0.19774228754231296	-0.1306671940146412
UMGS1908 sp900556185	-0.06735045199854243	-0.07820896719327229
Bacteroides massiliensis_A	-0.06433131095094632	-0.059154180928471134
Actinomyces sp000220835	-0.06158953951409612	-0.053623854612726785
UMGS946 sp900547135	-0.05254554734151092	-0.05257729491040748
An172 sp002160515	-0.05182049759703364	-0.042673658637624186
Blautia_A hydrogenotrophica	-0.048971671972645445	-0.04893044748937182
Zag1 sp001765415	-0.04487373076340759	-0.044130108498574155
Blautia_A sp003474435	-0.038737237702322805	-0.05086001468527565
Anaerostipes sp900756035	-0.038574153874664785	-0.04670929544783034
UMGS363 sp900543105	-0.03748185074022639	-0.027445593015695286
Blautia_A schinkii	-0.037309579915586685	-0.05727882661543646
Agathobacter rectalis	-0.03710137881643541	-0.03351053899446228
Anaeroglobus geminatus	-0.03536640702853096	-0.03402333691826202
Acetatifactor sp003447295	-0.033477451726958526	-0.03777966376088968
Ureibacillus endophyticus	-0.03126880529693553	-0.028754850830254
Bacteroides caccae	-0.030438991740419318	-0.046555824092894306
CAG-110 sp900551495	-0.029816162817560412	-0.00883314408017668
UMGS1491 sp900554335	-0.029626340813666233	-0.023786203422960353
Allisonella pneumosintes	-0.029419284546448814	-0.0386220617969398
UMGS577 sp900543525	-0.0265537564168933	-0.019895070664384767
CAG-110 sp000434635	-0.02030199355185479	-0.021544733871570985
CAG-269 sp900754285	-0.01996033520279633	-0.04029260857813236
UMGS1795 sp900555125	-0.0162604470623644	-0.02208707919836885
CAG-196 sp900553895	-0.01595396081914138	-0.008540350773982073
Blautia sp900539145	-0.01462870467289402	-0.019053545527885178
UCG-010 sp003150215	-0.012902044509791369	-0.01559564363927988
Zag111 sp002103105	-0.012646606677037875	-0.008839608828718799
Bacteroides oleiciplenus	-0.011716571368629138	-0.011991132285684972
Aeromonas dhakensis	-0.010493957126499536	-0.007365473547740761
UMGS966 sp900761965	-0.010369508522358614	-0.00523186902763056
Bariatricus comes	-0.010104320363555975	-0.0006888227251891069
Barnesiella sp900538555	-0.009762131822824456	-0.003186067868125546
Bacteroides bouchesdurhonensis	-0.008886294569755275	-0.006518811370658326
CAG-492 sp000434335	-0.007792533050279468	-0.014595207321926512
CAG-533 sp900551105	-0.007730584789111731	-0.013309539108392695
CAG-312 sp900548275	-0.007670463845578193	-0.006204599893443726
Bifidobacterium vaginale_F	-0.007616184481046331	-0.00604264401750664
UMGS1690 sp900554165	-0.007431143850150637	-0.009601380263774979
UMGS1601 sp900545345	-0.007369770575843081	-0.007138704716421686
UMGS1490 sp900547395	-0.00697077104912225	-0.005577622416809066
Bilophila sp900550745	-0.006944019729174737	-0.006196214680128887
CAG-485 sp900549375	-0.006591057538466688	-0.00930277900369992
Yersinia massiliensis	-0.006108987160816006	0.0056194821991021465
Acidaminococcus intestini	-0.005381690724315731	0.0031752095709520335
CAG-433 sp900546245	-0.005128676422204056	-0.00291739383078768
CAG-631 sp000433015	-0.004777940052095074	-0.0028428285916682933
Acidovorax sp000302535	-0.004701434677998606	-0.004664844255615993
CAG-485 sp002361235	-0.004607553435662212	0.024831281326411887
Beduini sp900550005	-0.004225936341888	-0.004449106210238807
Agathobaculum desmolans	-0.003984708969769231	-0.005162407496110293
CAG-465 sp900554875	-0.0039283471477865066	-0.004975930961551421
Anaerocolumna aminovalerica	-0.0038544261290622064	-0.0049748429172509065
Anaerobiospirillum sp900543125	-0.0038088993101744436	-0.004464066539958679
UMGS1484 sp900552285	-0.0037785245993931815	-0.007776058634255987
UMGS951 sp900547155	-0.0036260004783770436	-0.0030487536875684266
CAG-475 sp900548005	-0.003190416592741606	-0.0034362285722526406
CAG-1427 sp900546175	-0.0031427667428645186	-0.00217495896566036
CAG-510 sp000434615	-0.003103118237128313	-0.003404715783275967
Acinetobacter courvalinii	-0.003052004110900306	-0.005093326462764194
UMGS1663 sp900753245	-0.0027161117756406687	-0.0028031824765652868
CAG-492 sp900553225	-0.0021700578390538064	-0.00365285933636694
CAG-312 sp002437405	-0.00211622610643245	-0.0027173154881332665
Collinsella sp900551665	-0.0020438442770773562	-0.00227117371585712
Acidaminococcus sp900554515	-0.0020220458166901	-0.00205929553777956
Prevotella corporis	-0.001998145689231675	-0.0016233931276970267
CAG-272 sp900556615	-0.0018524568887958687	-0.0058559761576261
HGM05232 sp900759955	-0.00163905500564935	-0.0025672244730666066
UMGS1202 sp900549565	-0.001553380261984	-0.001981401158049287
