	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
UMGS2069 sp900554955	170.181940796934	28.2560085368178	2.90536789812323	9.72544941901167	2.34865940225794e-22	5.24455644524198e-19
Acidaminococcus sp900538365	8.28851453969287	-23.5293576616886	2.43853361827748	-9.64897817496941	4.96479567929126e-22	5.54319437592869e-19
Methanomassiliicoccus_A intestinalis	107.370633086947	27.625425680078	2.90539126557455	9.50833232253661	1.93743468551321e-21	1.44209721758366e-18
Succinatimonas hippei	5.94709592545205	-23.064840945042	2.90652871456947	-7.9355283260838	2.09601145807478e-15	1.17009839647025e-12
Prevotella rara	1277.94262608024	-4.13152055262143	0.522801487650775	-7.90265645797329	2.73021306237321e-15	1.21931315365588e-12
Collinsella sp900554645	6.17694031476085	-21.7253566272219	2.90648418560107	-7.47478920919332	7.73277041775549e-14	2.87787939047467e-11
CAG-510 sp000434615	708.700535369079	-3.54082590877701	0.485911201692203	-7.28698144114802	3.1697655062099e-13	1.01115519648096e-10
CAG-177 sp000431775	689.20373929534	4.31241254353954	0.602812062210403	7.15382590011006	8.4392088379927e-13	2.35559416690471e-10
CAG-353 sp900066885	1094.97644532968	3.07885423981107	0.443013889636523	6.94979166982136	3.65826036263502e-12	9.07655043307111e-10
Bacteroides_F pectinophilus	3703.59426715314	2.70739551890736	0.39643710250112	6.82931920808222	8.53185426587713e-12	1.90516305757036e-09
UBA1394 sp900554975	282.676938399514	3.70592488082952	0.579579644393532	6.39415983062582	1.6143250217961e-10	3.27707979424607e-08
UBA1394 sp900066845	316.107964525214	4.4119677016516	0.697347574666702	6.32678432094683	2.50322848509403e-10	4.65809100601247e-08
Paraprevotella sp003477995	693.618986707892	-1.81402687678138	0.295186906492161	-6.14535007103898	7.97873468673373e-10	1.33254569652089e-07
Phocaeicola sp000432735	1339.88656653387	-3.33419399075762	0.543201628719115	-6.13804122535446	8.35451847348518e-10	1.33254569652089e-07
F23-B02 sp000431075	192.94524749192	3.7368210915485	0.610054840238651	6.12538553105598	9.04642895364842e-10	1.34671172356646e-07
CAG-452 sp900770415	261.261851427736	5.39732770739251	0.894117395591431	6.0364866336398	1.57505791452604e-09	2.19819020196041e-07
Prevotella sp900554545	510.937628785668	-2.4755177268865	0.417668404504509	-5.92699304086281	3.085320460725e-09	4.05265916988173e-07
CAG-313 sp003539625	2464.11881550405	4.01789940642025	0.689187210174127	5.82990999703129	5.54572788972238e-09	6.87978354319449e-07
CAG-475 sp000434435	1908.98858824597	9.44520218061687	1.63295775560709	5.78410687489304	7.28985869730737e-09	8.56750235320387e-07
Ruminiclostridium_E sp003512525	8142.048462405	3.54487211890535	0.621036638912217	5.70799192317286	1.14316843691437e-08	1.27634755981489e-06
Zag1 sp000433095	334.970062418626	5.01512373773994	0.903590014509127	5.55022040661261	2.85309665274098e-08	3.03379277408124e-06
Prevotella sp002350355	206.277285010307	-5.94188559070412	1.09070374982373	-5.4477538851997	5.10098740883799e-08	5.17750221997056e-06
UMGS1781 sp900553365	491.489448540654	5.60326935247276	1.03481104686396	5.41477535387133	6.13657009630406e-08	5.95780914132477e-06
Eubacterium_R sp003526845	1246.133728158	3.46473535867559	0.645349659330162	5.36877227497384	7.92744414026903e-08	7.37582615217531e-06
Ruminococcus_C sp000980705	363.160713006949	-3.59467755381707	0.684880441955997	-5.24862053813478	1.5324235806742e-07	1.3687607422582e-05
Prevotella sp900554695	106.106283783096	-2.88940223272277	0.5549641766673	-5.20646620845756	1.92470724024456e-07	1.65302741056388e-05
CAG-878 sp000432255	981.373713874442	6.05699051857609	1.16672814121175	5.19143260938695	2.08682120214294e-07	1.72587842384636e-05
Bacteroides intestinalis	27570.2787948376	3.09735797442561	0.606585186682931	5.10622092729184	3.28665408993554e-07	2.6211066367236e-05
HGM11417 sp900761895	49.999684920023	6.57638627612863	1.29106910127493	5.09375235580687	3.5104524848015e-07	2.70304841329715e-05
CAG-83 sp900313295	530.218538217698	2.8565600572009	0.562356552065834	5.07962438902372	3.78181840058001e-07	2.81493349616505e-05
Faecalibacterium prausnitzii_F	5584.55599721092	2.62201601996744	0.521063585897699	5.03204616659248	4.85272362128445e-07	3.49552640204135e-05
CAG-617 sp000438115	254.847605884208	4.42085249733336	0.879694091594178	5.02544298020908	5.02271789445548e-07	3.50491533072471e-05
CAG-452 sp000434035	1159.84562937122	7.64258401174797	1.5254518339795	5.01004610011875	5.44169985524092e-07	3.68221690204636e-05
Prevotella sp000435635	107.675126589158	-2.2273541312523	0.446502114510674	-4.98845147394942	6.0865195299671e-07	3.99741120894604e-05
Akkermansia muciniphila	9587.70621967369	4.73802400831154	0.957480395310109	4.94842926447281	7.48147690189326e-07	4.7731822634079e-05
Dialister sp000434475	298.471706753638	-5.75972921246224	1.17127254342767	-4.91749699485541	8.76578021648156e-07	5.43721867316759e-05
Phocaeicola coprocola	3172.233738714	-1.95106834974067	0.405255138696895	-4.81441976532209	1.47628201971787e-06	8.90956148656758e-05
Akkermansia muciniphila_B	492.74093249792	5.19754744232609	1.08294520742563	4.79945560189667	1.59097499130878e-06	9.34907146208551e-05
Bacteroides togonis	404.15673133387	-1.62151622341914	0.338906214317905	-4.7845573639972	1.71364552755697e-06	9.81171913598643e-05
Negativibacillus massiliensis	96.2226720004015	-2.59937633874696	0.545402418323715	-4.76597875516596	1.87939063089256e-06	0.000104916981969577
CAG-1024 sp000432015	116.95327161486	4.27055790024558	0.90463229146418	4.72076659272634	2.34957433872471e-06	0.000126741961451135
UBA1820 sp002314265	162.971876300803	-4.31099739832409	0.913769088112465	-4.71781925478474	2.3838613439085e-06	0.000126741961451135
Monoglobus pectinilyticus	237.24337872433	2.77355665913305	0.596370285395917	4.65072913096558	3.30763526083549e-06	0.00017176626831269
CAG-354 sp900553015	1074.38071306062	2.63281855733032	0.567312630285268	4.64086011271497	3.46961953897889e-06	0.000174530296471525
UBA1740 sp004558975	185.382921612107	5.23593669418685	1.12949468174135	4.63564528353032	3.55825701396367e-06	0.000174530296471525
CAG-475 sp900547975	144.756388315164	4.07701681158091	0.879899949008791	4.63350045215217	3.59533973922531e-06	0.000174530296471525
Prevotella sp000436595	913.424628712934	-1.68673826304938	0.36841671831171	-4.57834343343308	4.68672763763486e-06	0.000222669421592311
Akkermansia muciniphila_A	641.264879217639	3.94436705414753	0.86557218815189	4.55694754075829	5.19023804066291e-06	0.000241454198850006
CAG-449 sp000432895	229.982992022239	4.09547894363635	0.907339657057745	4.51372196925336	6.36997135422893e-06	0.00029028869457129
RUG472 sp900545265	99.4410437093475	2.8998334613173	0.644061241213896	4.50241883186734	6.71844166259342e-06	0.000300045604651422
UBA1409 sp900553675	105.783772282128	4.38702242936875	0.982960947293519	4.46306889551204	8.07940606526946e-06	0.000353751249877386
Prevotellamassilia sp900540885	287.952014462752	-3.16533474539028	0.713082876872648	-4.43894370212957	9.04014573246216e-06	0.000382892678052941
UBA1409 sp900760125	56.2976835341159	2.54602844372208	0.573712918904993	4.43780915476247	9.08791398871737e-06	0.000382892678052941
Clostridium celatum	45.6676625904318	-4.24901704137558	0.968503634932841	-4.38719782571619	1.14820349272876e-05	0.000474803407270985
CAG-272 sp000433515	329.755595876516	2.55761594739186	0.584611402214985	4.37489918551284	1.2148861208263e-05	0.000493243765055477
Ruminococcus_E sp900314705	187.229380314717	-2.2157178200614	0.510287002695864	-4.34210122608589	1.41126480167249e-05	0.000562741839666906
UMGS1537 sp900761045	176.563561370441	1.65993379960662	0.387433954934605	4.28443036152264	1.83207980138969e-05	0.000717725297632137
Prevotella lascolaii	6240.591435957	-2.65885028235207	0.623501220143511	-4.2643866546726	2.0045206681829e-05	0.000771740457250418
CAG-83 sp900552725	2108.69568999372	2.18933713162978	0.514710366129737	4.2535322303533	2.10424635132293e-05	0.000796403746187134
Prevotella sp000431975	457.735725618641	-3.04268589800498	0.721082125904181	-4.21961076096525	2.44724469914987e-05	0.000910782902200276
