	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Collinsella sp900553165	27.3916946404143	-25.218977518448	1.69696879556933	-14.8611910745166	5.88691633489696e-50	1.15324691000632e-46
Collinsella sp900540935	19.5646510752459	26.3811852244654	1.79471778042066	14.6993502333732	6.50811933315743e-49	6.3747028868277e-46
Christensenella hongkongensis	11.2369871013951	25.4247707113987	1.76934087126119	14.3696283312983	8.02608076879953e-47	5.24103074202609e-44
Collinsella sp900541135	21.7386030197105	26.5179601237474	1.93831264961586	13.6809508667256	1.31955768823039e-42	6.46253377810834e-40
Collinsella sp900540895	11.8365613478663	25.6954666130961	2.16508172392103	11.8681278074625	1.73302512005841e-32	6.78999242038885e-30
Collinsella sp900545745	6.63928993077198	24.9073268183696	2.31074485763079	10.7789169090296	4.32953449593942e-27	1.41359301292422e-24
Collinsella sp900754275	5.49655741317161	24.6070844231893	2.53111973882722	9.72181759942772	2.43397365932068e-22	6.8116491408703e-20
Duodenibacillus sp900538905	58.8439515870436	27.8794733835243	2.89903171851786	9.61682247401477	6.78961724582061e-22	1.66260752307032e-19
Odoribacter splanchnicus	3499.60724801541	4.48777761285683	0.546065548198992	8.21838628651489	2.06259682526736e-16	4.48958575633195e-14
Bacteroides sp003545565	650.19796225094	1.60285399644727	0.217674999247316	7.36351901683553	1.7912426548826e-13	3.50904436091502e-11
Paraprevotella clara	652.718037428766	1.76339233026896	0.274706288684963	6.4191917072974	1.3699979677126e-10	2.43984183522636e-08
Flavonifractor sp900549795	119.151301053223	3.66538855007104	0.576615287734318	6.35673147771259	2.06091789113285e-10	3.36444845727438e-08
TF01-11 sp001414325	646.87906995783	-3.11239111318942	0.497193495371432	-6.2599192108583	3.85176963575263e-10	5.80432055110723e-08
Butyricimonas paravirosa	1202.32587226015	-2.96595023399245	0.476914531550093	-6.2190393409745	5.00207890815894e-10	6.99933755791669e-08
Prevotella lascolaii	444.596150321934	-1.95317973155769	0.325100107842616	-6.00793320100419	1.87903223102563e-09	2.45401609371948e-07
RC9 sp000435075	30.0859775337624	4.56042087045097	0.775180051051224	5.88304725368845	4.02780868068233e-09	4.93154825341042e-07
Alistipes_A ihumii	225.353722340904	3.68366094161587	0.629399344034892	5.85266091636037	4.83769798427925e-09	5.57473550070767e-07
