	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sutterella wadsworthensis_A	7704.78198534916	9.66765777570989	0.846239662507924	11.4242550946604	3.16356619907467e-30	9.75960172414537e-27
Collinsella sp900545615	18.7326457813209	23.9915670445422	2.31936501152765	10.344023870887	4.454323166645e-25	6.87079348454991e-22
Collinsella sp900543025	16.8199118209546	23.8197316019278	2.33152543460497	10.2163721863766	1.67492337780869e-24	1.72237954017994e-21
Coprococcus eutactus_A	17229.6924742691	-5.82150656406559	0.610326410513891	-9.53834942054026	1.45123616499235e-21	1.11926589225035e-18
Collinsella sp900540935	15.9756228917257	23.7757949874893	2.54646796004831	9.33677366474239	9.93142733771504e-21	6.12769066737018e-18
Fusobacterium_A mortiferum	1427.86857193804	5.84910582019647	0.630691611458762	9.27411386789774	1.79101551207647e-20	9.20880475792654e-18
Duodenibacillus sp003472385	25.043241298061	5.42385879281672	0.590709060211291	9.18194616970435	4.23369468631498e-20	1.86584972961168e-17
Fusobacterium_A ulcerans	999.065567671162	-5.16305999553996	0.566797143739083	-9.10918492192808	8.3003193582691e-20	3.20081065253252e-17
Collinsella sp900554495	10.2440610643214	23.1555331864339	2.6222222380125	8.83049989080425	1.0420892955395e-18	3.57205052971038e-16
Dialister hominis	26094.8066748747	-5.7596701598913	0.701213806889133	-8.21385731898737	2.14194077755713e-16	6.60788729876374e-14
Collinsella sp900541795	13.6097444264991	23.5490869969319	2.90906466164293	8.09507169346737	5.72306354213674e-16	1.60505918431744e-13
Sutterella wadsworthensis	229.714982333412	4.15777744097246	0.519247092994447	8.00731963080422	1.17235505634976e-15	3.01392945736584e-13
Collinsella sp900754275	6.90041744897137	22.6028533055598	2.90957746348955	7.76843152972856	7.94639410526065e-15	1.88574044728685e-12
Coprococcus sp900767685	666.520034897337	-3.9868360854785	0.514833313606578	-7.74393571688162	9.6385753108789e-15	2.12392891671867e-12
Coprococcus sp900548215	967.602494937499	-5.31689753284253	0.694681310706696	-7.65372185906898	1.95244337371001e-14	4.01552520526359e-12
Intestinibacter sp900540355	1706.8737690499	-3.46528727170497	0.471186947889863	-7.35437873910497	1.91817146216031e-13	3.69847435047784e-11
Ruminococcus_E sp900314705	1844.96708677439	-3.70758008621206	0.521026577864231	-7.11591355168483	1.11173964774018e-12	2.01748047839909e-10
Corynebacterium propinquum	170.966541622186	5.421127211752	0.788662333900495	6.87382543672483	6.25026861610904e-12	1.07122659337202e-09
CAG-495 sp001917125	178.042176528845	5.01280656121432	0.74522753595191	6.72654500723897	1.73738925847373e-11	2.82097150652183e-09
Enterocloster sp900538485	1616.25797619302	3.01147976533342	0.449085221425396	6.70580910183369	2.00293427572444e-11	3.08952612030494e-09
Salinicola tamaricis	747.124089146298	1.97671312002405	0.299012119096983	6.61081271887483	3.82215783467389e-11	5.44546601139683e-09
Duodenibacillus sp900538905	58.9357751016147	4.57685230734453	0.692574436964065	6.60846266201708	3.88331449759255e-11	5.44546601139683e-09
UBA1191 sp900545775	2731.96975447822	-4.39047240262715	0.669052021165596	-6.56222874116462	5.30094144004793e-11	7.11017580110777e-09
Enterococcus_A raffinosus	335.650177299364	4.70569554390891	0.718455196664248	6.54974111921971	5.76369106106105e-11	7.40874455140555e-09
