	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidaminococcus intestini	311.535451056995	-7.11675268673624	0.777540057982498	-9.15290808965167	5.54211292520814e-20	1.72138027456965e-16
Akkermansia muciniphila	9525.0277483236	-3.74598694013359	0.424301355457469	-8.8285999843078	1.05994067023399e-18	1.64608786087338e-15
CAG-495 sp000436375	447.339172627993	6.36690372980827	0.803704229378979	7.9219487680536	2.33816655922014e-15	2.42078177764591e-12
Ruthenibacterium lactatiformans	14586.8639907611	-2.37402051248565	0.305735149862956	-7.76495772092216	8.16724632712485e-15	5.18110389503497e-12
CAG-307 sp001916215	198.823065960329	3.59254974578415	0.462820440376283	7.76229706463123	8.34047632813098e-15	5.18110389503497e-12
Ruminiclostridium_E siraeum	4828.66013899543	-2.45796261047816	0.318695086909056	-7.71258394447599	1.23295526247444e-14	6.38259840874269e-12
Ligilactobacillus ruminis	1727.59347138369	-2.83948220592755	0.387469725460865	-7.32826855711166	2.33145165013638e-13	1.03449840361766e-10
Akkermansia muciniphila_A	1086.08722712013	-2.67169338305758	0.378777657935118	-7.05346085516802	1.74521621237334e-12	6.77580194453949e-10
Lachnospira sp000436535	18429.3494553574	2.35662969227674	0.337253541842994	6.98770924509328	2.79410676100662e-12	9.54821173844617e-10
Phocaeicola coprophilus	41271.0321189824	1.97510773898758	0.283198255899958	6.97429344227777	3.07411839615137e-12	9.54821173844617e-10
Duodenibacillus massiliensis	1154.34108835187	-4.1215761503121	0.604289554615321	-6.82053184410215	9.07040783304396e-12	2.5611533390395e-09
Caecibacter sp003467125	1749.6883842101	-2.92904214275975	0.432633614334134	-6.77026020566581	1.28550983365032e-11	3.32732795276491e-09
Clostridium_AQ innocuum	5227.25577580246	-1.95915630241109	0.291466733528494	-6.72171495763362	1.79598033315946e-11	4.29101147291791e-09
UBA2883 sp900768915	282.509658588022	-6.06576727449693	0.90407231912482	-6.70938280730556	1.95449314118634e-11	4.29428672486322e-09
Enterocloster aldenensis	4319.84250399142	-1.83868059215383	0.274400208165385	-6.70072593766267	2.07386673769956e-11	4.29428672486322e-09
Lachnospira sp900551945	1243.98436077471	1.83814995937479	0.276989244635316	6.63617810068724	3.21920844205024e-11	6.24928838813002e-09
Anaeroglobus geminatus	370.931765920504	-2.60887339282212	0.395816208887618	-6.59112318859798	4.36511494135068e-11	7.97532176931483e-09
Lactobacillus acidophilus	157.301385115458	2.82655952887758	0.437246563108734	6.46445225042208	1.01666393010495e-10	1.75431009272554e-08
Ligilactobacillus salivarius	663.182806270156	-3.64443905084735	0.570625138986724	-6.3867481501409	1.69450363872202e-10	2.77006752730032e-08
