	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CAG-306 sp000980375	31.6468043973784	-25.4994857616994	2.32093310912164	-10.9867387653191	4.42631961252982e-28	7.83015939456525e-25
CAG-433 sp000433675	31.6055716422469	-25.4993812745828	2.560297107113	-9.95953993141679	2.29120517412137e-23	2.02657097651035e-20
Megamonas funiformis	259.702642436026	-28.4481843184497	2.90939290766898	-9.77804828060934	1.39881843773063e-22	8.24836605448496e-20
CAG-279 sp000437795	915.91732957216	6.64942079367373	0.722894204002086	9.19833186773558	3.63549460956658e-20	1.60779749108082e-17
CAG-460 sp000437315	68.5043864933944	-26.2359638597586	2.90963800634875	-9.01691681319546	1.9345721805103e-19	5.733600852204e-17
Megamonas sp900556715	53.4927905777855	-26.2351401970041	2.90973117292547	-9.01634502909319	1.94469220538293e-19	5.733600852204e-17
UBA5026 sp900550255	14.767320842982	-24.4352902583848	2.77638439751425	-8.80111928314471	1.35458276451422e-18	3.42322415775092e-16
UBA10281 sp000437515	10.4065600400989	-23.9474918458604	2.74067482856401	-8.73780851207648	2.37675923933018e-18	5.25560886796886e-16
UMGS1590 sp900552455	8.47516522848175	-23.6623578083885	2.72246265590787	-8.69152704704325	3.57599981295452e-18	7.02882629901837e-16
CAG-1435 sp003537755	6.33411239494156	-23.2552122555306	2.70517763328469	-8.59655645876889	8.21437215137857e-18	1.45312243357887e-15
HGM11417 sp900761895	24.2991041319721	-24.945704794239	2.91023728445262	-8.57170819970816	1.01961176969991e-17	1.63972110963559e-15
CAG-460 sp000438075	10.0344091351033	-23.8905180404001	2.91116772817039	-8.20650689729062	2.27716471318807e-16	3.35692031469141e-14
CAG-313 sp003539625	931.935042347268	-7.79629403148474	1.31339918242264	-5.93596686812615	2.92118793084741e-09	3.97506265359159e-07
CAG-170 sp900548625	869.067905600815	-3.67716920714727	0.661409828629699	-5.55959262771403	2.70405056556465e-08	3.41676103605991e-06
CAG-194 sp000432915	219.228960793577	-3.98000561386119	0.728537568855484	-5.46300669176702	4.68136946021423e-08	5.52089505007932e-06
CAG-56 sp900752065	82.1450726253206	-1.78327419061826	0.336855377307353	-5.29388666695135	1.19743659649547e-07	1.3239158370003e-05
Phil1 sp001940855	715.36757394868	-4.28473930005847	0.812763913250886	-5.27181292156588	1.3508273270299e-07	1.40565502442111e-05
Alistipes provencensis	226.387144192944	-3.11673945971069	0.592925771462602	-5.25654240331377	1.46788943644247e-07	1.44260911837041e-05
Bacteroides intestinalis	1560.125513586	-2.87405190060194	0.550055602384666	-5.22502068543982	1.74135641386542e-07	1.62129447164628e-05
Lachnoclostridium_B sp900066765	194.180918821137	-2.20080546690393	0.422443636309024	-5.20970202352392	1.89144155260346e-07	1.67298005327776e-05
Bacteroides finegoldii	1512.22515725938	2.11783837410388	0.411183514048547	5.15059165006755	2.59666002155955e-07	2.18737694197088e-05
Coprobacillus cateniformis	501.242238422884	-4.53088081342758	0.900173053684598	-5.0333441940766	4.81996581120347e-07	3.8756906909177e-05
CAG-510 sp000434615	99.7346175762721	-3.97399571365203	0.818747679452866	-4.85374897954847	1.21149069738689e-06	9.31794366816264e-05
Intestinimonas massiliensis	599.351492913314	-2.39716073609108	0.496409895877759	-4.82899465944849	1.37224088255852e-06	0.000101145588385251
UMGS1241 sp900540495	51.4938320055421	-5.46208577164049	1.13950973419202	-4.79336473199452	1.64007056532729e-06	0.000116051393202559
Parabacteroides gordonii	95.3158892631807	-1.80989435484423	0.385747792680325	-4.69191111183911	2.70664727841193e-06	0.000184156116750412
Dysosmobacter sp900551885	118.664006949863	-3.43839212726157	0.741104982319269	-4.6395479848229	3.49172056504028e-06	0.000228772358502084
Alistipes timonensis	157.819840809735	-1.8815886287543	0.410855800437704	-4.57968130606834	4.65684958097207e-06	0.000294213103883557
AF33-28 sp003477885	125.292520914652	-2.10327271977299	0.462250824083745	-4.55006808033714	5.36285614270655e-06	0.000326277693794552
Phocaeicola plebeius	4066.98050787618	3.02109234645382	0.665271988070813	4.5411386630219	5.59512153834421e-06	0.000326277693794552
Catenibacterium sp000437715	179.744570270611	4.66458579399199	1.02821902125882	4.53656827733188	5.71769842149866e-06	0.000326277693794552
Acutalibacter sp900755895	227.977890665422	-1.55121323014382	0.343207017788069	-4.5197596486844	6.19098767155677e-06	0.000342245537218248
QALR01 sp900552255	7.65399907469696	-5.54666094203037	1.2475985817213	-4.44586986815719	8.7536928544816e-06	0.000467769943787473
Alistipes_A sp900240235	755.961906598517	-2.69009979723785	0.605860709505784	-4.4401291502006	8.99049072287963e-06	0.000467769943787473
Bacteroides bouchesdurhonensis	184.799865798656	0.860474830442577	0.196648096575921	4.37570892078464	1.2103844711714e-05	0.00061176289414349
Phascolarctobacterium_A succinatutens	33.5805149616377	-4.53524275578062	1.0479772435662	-4.32761568404621	1.50732180407305e-05	0.00071935614431127
Blautia_A sp000436615	268.364755794837	-1.63978970933113	0.379169725940023	-4.32468521917415	1.52749818493711e-05	0.00071935614431127
ER4 sp003522105	881.17315277836	-2.64746704488694	0.612536618984285	-4.32213677163823	1.54525344736169e-05	0.00071935614431127
Emergencia sp900551775	76.1011964515102	-1.6107681960529	0.374030606909642	-4.3065144036248	1.65847135097324e-05	0.000752265594838888
CAG-110 sp900546915	46.6032299815096	-3.79734723615926	0.896068268248096	-4.23778786808672	2.2573289562024e-05	0.00099830373088051
