	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1XD42-69 sp014287635	41.7848452035648	-0.615769612296557	0.510036114259233	-1.2073059045846	0.227314357578454	0.467307013518231
43-108 sp001915545	25.2270450375488	-0.154004256562088	0.460688413599208	-0.334291577595589	0.738159545345133	0.880863856040415
51-20 sp001917175	128.882140811441	-5.45898561899424	1.91759827055316	-2.84678271920819	0.00441634944161104	0.0417018896706604
51-20 sp900539605	0	0	0	0	1	NA
51-20 sp900542055	0	0	0	0	1	NA
51-20 sp900762565	3.44927374377283	-1.39326261036555	2.07610626520788	-0.671094073417308	0.502160602229886	NA
AF33-28 sp003477885	125.292520914652	-2.10327271977299	0.462250824083745	-4.55006808033714	5.36285614270655e-06	0.000326277693794552
AM07-15 sp003477405	242.47136971867	-1.14401036833652	0.32908729979273	-3.47631272631016	0.000508359128021912	0.00899287297470763
AM51-8 sp003478275	38.1646091452671	-0.688861337623362	0.494775427267094	-1.39227071447001	0.16384043618894	0.385930401622149
AM51-8 sp900546435	145.593481795702	1.19466720684305	0.581421105336581	2.0547365685177	0.0399044558418041	0.159347590031945
AM51-8 sp900761925	168.359441187373	-1.54000163710565	0.882385494076577	-1.74527079994359	0.0809377422406714	0.243916296462943
Absicoccus sp000434355	8.21251288482178	-0.352375140708905	0.917028329589801	-0.384257638874174	0.700787501613636	0.86030054847642
Acetatifactor sp003447295	488.052924759982	-0.60423906474934	0.486163108458487	-1.24287313092358	0.21391458834732	0.453191505133423
Acetatifactor sp900066365	2399.45244005766	-0.100390732997918	0.474055881295106	-0.211769829167932	0.832286607503376	0.929015393948332
Acetatifactor sp900066565	3341.82094433647	-0.120158200560517	0.490732588246009	-0.244854740521696	0.806568906877705	0.916979689117391
Acetatifactor sp900554205	20.7162607582125	-1.20379219381034	0.482769477066988	-2.4935134696664	0.0126485785114323	0.0857292543552632
Acetatifactor sp900755865	24.1295040405544	-0.708740320435573	0.55340616683502	-1.28068742798607	0.2003034773724	0.437300817335761
Acetatifactor sp900760705	48.3399125499178	-0.89863820092309	0.50816158527574	-1.76841033828928	0.0769923294974346	0.238110893148535
Acetatifactor sp900766575	69.1240667071483	-0.0433963397643155	0.483982269263249	-0.0896651437879664	0.92855331555907	0.974265014960851
Acetatifactor sp900771995	172.137970982922	-0.201746022245529	0.386837872244031	-0.521526036412123	0.602000372880998	0.795323868279676
Acetatifactor sp900772845	253.466944596289	-0.0114698003550613	0.492656240634037	-0.0232815488956355	0.981425689573605	0.994353977580589
Acetivibrio_A ethanolgignens	41.2286972185233	-0.903616007516266	0.277441338036451	-3.25696240477887	0.00112611346827475	0.01717323039119
Achromobacter xylosoxidans	1.09272327785077	0.44925639451797	2.90613805844128	0.154588799803589	0.877145500308098	NA
Acidaminococcus fermentans	3.6403133590926	1.94929304648452	2.23662152619853	0.871534599685998	0.38346232248748	NA
Acidaminococcus fermentans_A	8.6758788410533	0.516077100163806	1.97370157771969	0.261476763250123	0.793724866619335	0.910541786414098
Acidaminococcus intestini	2015.68777728389	2.80849917314979	1.63946966794759	1.713053451404	0.0867027065218142	0.251437848913261
