	index	KEGG	pvalue	-log(pvalue)	pvalue_corrected
0	0	ko:K00001	2.188193513447829e-273	460.51701859880916	5.760200604800065e-272
1	1	ko:K00002	9.120959149332789e-15	32.32820142647143	1.2394183803790848e-14
2	2	ko:K00003	3.4851343414213792e-177	406.3090548680056	2.551242391645617e-176
3	3	ko:K00004	6.502644465792173e-48	108.65187552865882	1.5142924001903147e-47
4	4	ko:K00005	1.3245146257029384e-116	266.818824715207	6.138472360388055e-116
5	5	ko:K00006	7.280510800637773e-06	11.830309533294352	7.916893849801254e-06
6	6	ko:K00007	2.912183117920102e-05	10.444022452711765	3.107178518001328e-05
7	7	ko:K00008	3.092961586139376e-110	252.15523115533145	1.3569853465588822e-109
8	8	ko:K00009	9.96542032053457e-182	416.77136579245877	7.64363999177599e-181
9	9	ko:K00010	4.624015167968224e-82	187.2807142138771	1.5605458369435323e-81
10	10	ko:K00012	9.292973241338133e-223	460.51701859880916	1.0255708242740148e-221
11	11	ko:K00013	5.0318089138678854e-213	460.51701859880865	5.07888565370622e-212
12	12	ko:K00014	3.616594455108001e-297	460.51701859880916	1.3757692548592922e-295
13	13	ko:K00015	1.01793218674186e-54	124.32182171997145	2.6208966044398204e-54
14	14	ko:K00016	6.021903300574935e-184	421.88025373866645	4.734784423068537e-183
15	15	ko:K00018	7.935424122531143e-133	304.1724805660637	4.1979924558181235e-132
16	16	ko:K00019	8.53542108707175e-35	78.44625356325702	1.6767643634035577e-34
17	17	ko:K00020	2.9760187052518362e-174	399.55921977864597	2.1288238151372104e-173
18	18	ko:K00021	6.552316605854651e-05	9.633106797570044	6.941531806685362e-05
19	19	ko:K00023	6.221477888690049e-41	92.57798133154455	1.323320814009994e-40
20	20	ko:K00024	2.1541758195706614e-169	388.369472515906	1.4875793356342628e-168
21	21	ko:K00027	5.1001061181104276e-244	460.51701859880916	7.610838631130323e-243
22	22	ko:K00029	2.905581100475485e-209	460.51701859590355	2.8161456881044426e-208
23	23	ko:K00030	9.25573586112384e-35	78.36523480235108	1.8144771433439377e-34
24	24	ko:K00031	6.546601166644012e-203	460.510493333568	5.992097674225904e-202
25	25	ko:K00032	3.927400682664025e-24	53.894064428702265	6.2536230081325784e-24
26	26	ko:K00033	9.633499835063826e-130	297.07081549900835	4.949107136186966e-129
27	27	ko:K00034	6.372899460021307e-48	108.67202992343283	1.4861818336782503e-47
28	28	ko:K00035	7.280510800637773e-06	11.830309533294352	7.916893849801254e-06
29	29	ko:K00036	2.451335319299249e-112	256.99289751096507	1.0959400636079047e-111
30	30	ko:K00038	1.0438041306986775e-22	50.61400018828361	1.6406197717048e-22
31	31	ko:K00039	2.912183117920102e-05	10.444022452711765	3.107178518001328e-05
32	32	ko:K00040	7.976518534285146e-111	253.5104432799716	3.525417627544026e-110
33	33	ko:K00041	1.1892981591998178e-131	301.4652838312715	6.24144432670973e-131
34	34	ko:K00042	1.231188881964736e-103	236.95828430512802	5.067200770612838e-103
35	35	ko:K00043	5.3005837518203264e-11	23.660619066588705	6.501983536016695e-11
36	36	ko:K00045	1.2348971459837221e-14	32.02520361790916	1.6434495688005816e-14
37	37	ko:K00046	2.8289885502853993e-122	279.875462100228	1.3739906752345545e-121
38	38	ko:K00048	7.132320180902143e-110	251.3197236367873	3.1105234665683893e-109
39	39	ko:K00050	7.280510800637773e-06	11.830309533294352	7.916893849801254e-06
40	40	ko:K00052	5.639878443975663e-218	460.51701859880916	5.89143492695299e-217
41	41	ko:K00053	1.5857015377711696e-229	460.51701859880916	1.8768888165597244e-228
42	42	ko:K00054	7.886953831106133e-46	103.853704297124	1.8028497104032465e-45
43	43	ko:K00055	8.053360131627759e-21	46.26819754087921	1.2200543974733491e-20
44	44	ko:K00057	8.812833956540608e-232	460.51701859880916	1.0760159604451529e-230
45	45	ko:K00058	1.2791378616045861e-276	460.51701859880916	3.5519013785737473e-275
46	46	ko:K00059	0.0	460.51701859880916	0.0
47	47	ko:K00060	3.258290437930794e-40	90.92220106747459	6.899230814679073e-40
48	48	ko:K00064	4.713086361081805e-48	108.97374149192567	1.1057690318103159e-47
49	49	ko:K00065	3.3227561768412293e-72	164.58533208329916	1.030007461130105e-71
50	50	ko:K00066	3.039767737273965e-27	61.05801640055241	5.245073801520704e-27
51	51	ko:K00067	1.0700594543570976e-236	460.51701859880916	1.3917117132656245e-235
52	52	ko:K00068	9.414728179593113e-107	244.1343296596644	4.0050630995411947e-106
53	53	ko:K00073	2.1953732648766934e-59	135.0661684022432	6.017389194566231e-59
54	54	ko:K00074	4.056557490885971e-85	194.3193981992069	1.4035859541283162e-84
55	55	ko:K00075	2.7609718795932425e-243	460.51701859880916	4.011027801236894e-242
56	56	ko:K00076	5.10352447533345e-19	42.119185392243196	7.443770960143935e-19
57	57	ko:K00077	2.831091078620801e-217	460.51701859880916	2.943350772259635e-216
58	58	ko:K00082	3.413567560214862e-18	40.2187737241472	4.928628370727075e-18
59	59	ko:K00086	7.596264982950038e-41	92.37833213587636	1.6110544586785112e-40
60	60	ko:K00087	4.497798123581032e-44	99.8101561205818	1.0119661350867272e-43
61	61	ko:K00088	6.905030688838243e-251	460.51701859880916	1.192703594835813e-249
62	62	ko:K00090	6.221477888690049e-41	92.57798133154455	1.323320814009994e-40
63	63	ko:K00091	4.475425656123916e-25	56.06602585896091	7.505804343259809e-25
64	64	ko:K00094	2.912183117920102e-05	10.444022452711765	3.107178518001328e-05
65	65	ko:K00096	9.498148874215276e-74	168.1401999572854	2.9893504419517323e-73
66	66	ko:K00097	5.688916696117045e-178	408.1216267102535	4.192470411774499e-177
67	67	ko:K00098	3.927400682664025e-24	53.894064428702265	6.2536230081325784e-24
68	68	ko:K00099	1.2586705467505417e-221	460.51701859880916	1.3623866559482426e-220
69	69	ko:K00100	5.155805510740493e-30	67.4374294264139	9.347205527874157e-30
70	70	ko:K00101	6.221477888690049e-41	92.57798133154455	1.323320814009994e-40
71	71	ko:K00102	8.536260051846299e-32	71.53839999696874	1.58782157719617e-31
72	72	ko:K00103	7.280510800637773e-06	11.830309533294352	7.916893849801254e-06
73	73	ko:K00104	7.633557994606704e-120	274.2776571062186	3.624563143038003e-119
74	74	ko:K00105	1.175617133187278e-72	165.62433346612093	3.666699693604491e-72
75	75	ko:K00108	1.2547290627615348e-43	98.7842393357128	2.7953188767886465e-43
77	77	ko:K00111	1.6232124897844207e-209	460.51701859718594	1.5802309756318452e-208
78	78	ko:K00112	1.6929279451976802e-52	119.20796529387175	4.21375143999468e-52
79	79	ko:K00113	1.6929279451976802e-52	119.20796529387175	4.21375143999468e-52
80	80	ko:K00116	1.0725588793213895e-54	124.26954775223118	2.7411689261413843e-54
81	81	ko:K00117	1.2547290627615348e-43	98.7842393357128	2.7953188767886465e-43
82	82	ko:K00118	7.280510800637773e-06	11.830309533294352	7.916893849801254e-06
83	83	ko:K00121	7.208322442268824e-74	168.41606062830982	2.271933428762985e-73
84	84	ko:K00123	5.807347860534743e-259	460.51701859880916	1.1943173834430982e-257
85	85	ko:K00124	5.493310211539797e-89	203.22654224973007	1.9679626838401418e-88
86	86	ko:K00125	5.3005837518203264e-11	23.660619066588705	6.501983536016695e-11
87	87	ko:K00126	7.280510800637773e-06	11.830309533294352	7.916893849801254e-06
88	88	ko:K00127	1.544712851507778e-64	146.93060791517198	4.4862115074018914e-64
89	89	ko:K00128	2.5796061580889424e-178	408.9125098175626	1.909604963597675e-177
90	90	ko:K00129	7.280510800637773e-06	11.830309533294352	7.916893849801254e-06
91	91	ko:K00130	3.365219413952133e-104	238.2553565056692	1.3902391062912108e-103
