	index	KEGG	pvalue	-log(pvalue)	pvalue_corrected
0	0	ko:K00001	2.9223977865031563e-53	120.9646054896101	8.367936197128051e-52
1	1	ko:K00002	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
2	2	ko:K00003	6.439451972901181e-31	69.51769444369573	3.1775256943951704e-30
3	3	ko:K00004	2.3364646941804086e-08	17.57204177146654	3.757937281067065e-08
4	4	ko:K00005	2.5764276209840184e-29	65.82856390042723	1.1999719022819036e-28
5	5	ko:K00008	1.0906102963415236e-37	85.10891099632643	7.820849144487892e-37
6	6	ko:K00009	4.605654390068163e-15	33.011491631049935	1.0479345691112005e-14
7	7	ko:K00010	3.032957904819465e-16	35.73182313835182	7.266945692985236e-16
8	8	ko:K00012	1.101168297111507e-34	78.19152145732676	6.5362778044604196e-34
9	9	ko:K00013	5.468595401571259e-25	55.86560552355391	2.055019307096926e-24
10	10	ko:K00014	3.515860451377375e-50	113.87197036026389	8.12243670187523e-49
11	11	ko:K00015	0.00017649913922302107	8.642194558526208	0.00021063853832720977
12	12	ko:K00016	9.963641391279958e-26	57.568269811530506	3.8546304373876607e-25
13	13	ko:K00018	8.012735636722288e-19	41.66808453643322	2.249985020643151e-18
14	14	ko:K00020	8.225659671308245e-38	85.39097503713984	6.015383493442325e-37
17	17	ko:K00024	9.589702941968254e-18	39.18584176128868	2.4369832601276824e-17
18	18	ko:K00027	1.4776217355704635e-17	38.75351272105368	3.7363246124561594e-17
19	19	ko:K00029	3.3071641302904654e-24	54.065951167915614	1.179555206470266e-23
20	20	ko:K00030	2.668216271867901e-06	12.834100371776444	4.036074167193037e-06
21	21	ko:K00031	6.582789442680473e-17	37.25948799793437	1.6330458739437954e-16
22	22	ko:K00033	6.401950352738482e-25	55.70802463829473	2.3599574011092172e-24
23	23	ko:K00034	0.00039708801653915126	7.831352597720968	0.0004634213189575744
24	24	ko:K00036	3.395713823087663e-14	31.013677305838243	7.540673077375443e-14
25	25	ko:K00038	8.592218139288375e-14	30.085334375821535	1.7915876386844374e-13
26	26	ko:K00040	3.032957904819465e-16	35.73182313835182	7.266945692985236e-16
27	27	ko:K00041	8.535688687223968e-19	41.60486072412137	2.354552930953369e-18
28	28	ko:K00042	3.2577094940038916e-31	70.19911354358358	1.649545056366105e-30
29	29	ko:K00046	7.214283060008364e-23	50.98339431955675	2.462911412426029e-22
30	30	ko:K00048	3.6824433300951545e-17	37.84037010063874	9.265355557033972e-17
31	31	ko:K00052	3.482296022580172e-23	51.711765286030065	1.2143238102753843e-22
32	32	ko:K00053	5.957189202433534e-27	60.38519875133505	2.5363278845125395e-26
33	33	ko:K00054	2.319438258995045e-11	24.487110996317938	4.386435330732025e-11
34	34	ko:K00055	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
35	35	ko:K00057	9.308193031397155e-35	78.3595832713417	5.565751892008946e-34
36	36	ko:K00058	2.89111066790755e-41	93.34434807030644	3.0375338438532553e-40
37	37	ko:K00059	1.8531286844832183e-68	155.9589109321391	9.418526538885957e-67
39	39	ko:K00065	3.3356369181439295e-28	63.26771896274684	1.4710086452465528e-27
40	40	ko:K00066	1.9471684747255315e-09	20.056889583881023	3.266166261647694e-09
41	41	ko:K00067	3.685862960507163e-52	118.42992015550958	9.859683419356662e-51
