	index	KEGG	pvalue	-log(pvalue)	pvalue_corrected
0	0	ko:K00001	2.7755916366959273e-32	72.66185904892252	6.347100194728719e-32
1	1	ko:K00002	6.289483980937792e-05	9.67404643562989	9.38188284184274e-05
2	2	ko:K00003	5.123586437174073e-141	323.0306434423173	2.781516252335078e-140
3	3	ko:K00004	7.505431703798454e-07	14.102468665368875	1.2445129926474618e-06
4	4	ko:K00005	2.95807863702848e-30	67.99301284135993	6.622249002641871e-30
5	5	ko:K00008	1.1675965007945588e-52	119.57947747261845	3.11985321509043e-52
6	6	ko:K00009	3.0115227038829466e-108	247.57674421082245	1.3377700382472948e-107
7	7	ko:K00010	2.2694717228594963e-12	26.811474032726288	4.219110091295593e-12
8	8	ko:K00012	1.6498585876664533e-218	460.51701859880916	1.5422353619147014e-217
9	9	ko:K00013	8.03037268777042e-195	446.92086094975923	6.297150582659971e-194
10	10	ko:K00014	2.919182178193182e-296	460.51701859880916	9.207655071552349e-295
11	11	ko:K00015	1.5490872434478338e-05	11.075259582689116	2.4173981692942147e-05
12	12	ko:K00016	5.8460129496888e-104	237.7030897895575	2.5157461214895553e-103
13	13	ko:K00018	3.0753486347818054e-246	460.51701859880916	4.1940624135212736e-245
15	15	ko:K00020	7.88096830512712e-18	39.38208089621102	1.576193661025424e-17
16	16	ko:K00021	2.7953652842220115e-05	10.484962674873284	4.234674643068816e-05
17	17	ko:K00023	2.38520902700046e-21	47.48500019002682	4.941978042731962e-21
18	18	ko:K00024	1.0095113355239824e-174	400.6403397934063	6.867109638998079e-174
19	19	ko:K00027	2.067787765710978e-214	460.5170185988091	1.8649727995533836e-213
20	20	ko:K00029	7.681809282784265e-181	414.7290467288123	5.435024462481198e-180
21	21	ko:K00030	1.3150943988734247e-34	78.0139847125288	3.0593419761183997e-34
22	22	ko:K00031	1.735285457174675e-188	432.3348255543836	1.299392797242469e-187
24	24	ko:K00033	3.313866434344824e-27	60.97168189610367	7.226763185906094e-27
26	26	ko:K00036	9.265571193993354e-37	82.96934293221486	2.187015675639067e-36
28	28	ko:K00040	6.618908346748722e-94	214.55306828739307	2.6503798954427857e-93
29	29	ko:K00041	2.2898687577835246e-131	300.8101526773077	1.1615991919537988e-130
30	30	ko:K00042	7.476509808758448e-38	85.48646745378761	1.7871454013653766e-37
32	32	ko:K00045	1.6287262200611528e-67	153.78540298136667	5.0889807628474094e-67
33	33	ko:K00046	3.9930014001597555e-119	272.62308288755685	1.8897305872005013e-118
34	34	ko:K00048	6.582566640973102e-164	375.73953051472546	4.147898577559613e-163
35	35	ko:K00052	5.570534338372832e-219	460.51701859880916	5.224457952566944e-218
