	index	KEGG	pvalue	-log(pvalue)	pvalue_corrected
1	1	ko:K00003	1.6662191492842946e-29	66.26441061954614	7.87361431108635e-29
2	2	ko:K00004	0.0001813154431703201	8.615272263630764	0.00023327171893403954
4	4	ko:K00008	0.00040792276159377157	7.804432711300666	0.0005151859050200474
7	7	ko:K00012	1.927124617409523e-28	63.81635354736407	8.77579057292456e-28
8	8	ko:K00013	1.747838140819414e-28	63.91400292767251	8.021777401852239e-28
9	9	ko:K00014	1.3417544789732384e-37	84.90167037055265	1.0399337694646887e-36
11	11	ko:K00016	2.163935963051235e-16	36.06943271929401	5.898741588721184e-16
12	12	ko:K00018	3.6639110276230375e-44	100.01521292807493	5.405038494951464e-43
14	14	ko:K00023	4.533091568449683e-05	10.001521292807494	6.0195478429753546e-05
15	15	ko:K00024	5.1293193994894386e-15	32.90380341519437	1.333015574508321e-14
16	16	ko:K00027	2.628720049619547e-36	81.92656629320824	1.8533004205249457e-35
17	17	ko:K00029	1.9141345374928685e-22	50.007606464037465	6.3944113807207055e-22
19	19	ko:K00031	3.4448565699403344e-27	60.9329152415102	1.467826628284043e-26
20	20	ko:K00033	1.6355906113366612e-05	11.020921495673596	2.5659332602336985e-05
22	22	ko:K00036	7.473800931938007e-06	11.804106861997731	1.1836046491670881e-05
23	23	ko:K00040	3.3778196225466153e-16	35.62413106865158	9.039271871006985e-16
24	24	ko:K00041	9.315013222098643e-14	30.00456387842248	2.1673301141675504e-13
25	25	ko:K00042	0.0001813154431703201	8.615272263630764	0.00023327171893403954
26	26	ko:K00046	1.0971438156520404e-17	39.05123630915371	3.047525266419552e-17
27	27	ko:K00048	2.628720049619547e-36	81.92656629320824	1.8533004205249457e-35
28	28	ko:K00052	1.4275588201587362e-37	84.83968257406569	1.0991576792932726e-36
29	29	ko:K00053	2.5344523162970393e-39	88.87084106186455	2.149386976453842e-38
32	32	ko:K00057	1.9416323182814755e-32	73.01919395533774	1.0837950825892307e-31
33	33	ko:K00058	5.433247890542725e-32	71.99018588245549	2.93931176328128e-31
