	AD	MS	T2D	ASD	CD	UC	Schiz	PD	T1D	Obesity
AD		0	2	0	0	3	0	3	0	1
MS	3		2	0	0	1	0	1	0	0
T2D	2	6		2	7	1	6	3	1	1
ASD	1	1	9		3	2	1	6	2	0
CD	4	1	83	16		31	9	0	10	17
UC	6	0	22	7	123		3	2	3	5
Schiz	3	2	20	6	40	11		2	1	1
PD	7	9	35	7	20	13	23		1	1
T1D	1	0	2	1	4	2	0	4		1
Obesity	1	1	0	1	3	2	1	0	3	
										
	lower left: overlap of deleterious microbes increased									
	upper right: overlap of beneficial microbes decreased									
										
	AD	MS	T2D	ASD	CD	UC	Schiz	PD	T1D	Obesity
AD										
MS	3									
T2D	4	8								
ASD	1	1	11							
CD	4	1	90	18						
UC	9	1	23	9	154					
Schiz	3	2	26	7	49	14				
PD	10	10	38	13	20	15	25			
T1D	1	0	3	3	14	5	1	5		
Obesity	2	1	1	1	20	7	2	1	4	
										
	sum									
