#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000002473_02772	278957.ABEA03000106_gene1806	1.83e-14	77.8	COG2165@1|root,COG2165@2|Bacteria	2|Bacteria	NU	general secretion pathway protein	-	-	-	-	-	-	-	-	-	-	-	-	N_methyl,Polysacc_deac_1,SBP_bac_10,T2SSG
MGYG000002473_03135	660470.Theba_2486	1.66e-12	75.9	COG1609@1|root,COG1609@2|Bacteria,2GD12@200918|Thermotogae	200918|Thermotogae	K	PFAM Bacterial regulatory proteins, lacI family	-	-	-	ko:K02529	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_3
MGYG000002473_02924	264732.Moth_1827	6.85e-06	55.1	COG1396@1|root,COG1396@2|Bacteria,1V0UH@1239|Firmicutes,24F2M@186801|Clostridia,42FSQ@68295|Thermoanaerobacterales	186801|Clostridia	K	transcriptional regulator, XRE family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_26,HTH_3
MGYG000002473_00773	523794.Lebu_1908	9.87e-09	64.7	COG1609@1|root,COG1609@2|Bacteria,379EW@32066|Fusobacteria	32066|Fusobacteria	K	Psort location Cytoplasmic, score	-	-	-	ko:K02529	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_1,Peripla_BP_3,Peripla_BP_4
MGYG000002473_03432	697281.Mahau_1560	3.89e-68	218.0	COG1082@1|root,COG1082@2|Bacteria,1TSK3@1239|Firmicutes,24DCC@186801|Clostridia,42FNF@68295|Thermoanaerobacterales	186801|Clostridia	G	PFAM Xylose isomerase domain-containing protein TIM barrel	-	-	-	-	-	-	-	-	-	-	-	-	AP_endonuc_2
MGYG000002473_02221	313628.LNTAR_10596	1.73e-93	291.0	COG0787@1|root,COG0787@2|Bacteria	2|Bacteria	E	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids	alr	-	5.1.1.1,5.1.1.18	ko:K01775,ko:K18348	ko00473,ko01100,ko01502,ko02020,map00473,map01100,map01502,map02020	M00652	R00401	RC00285	ko00000,ko00001,ko00002,ko01000,ko01011,ko01504	-	-	-	Acyl_transf_3,Ala_racemase_C,Ala_racemase_N,VanY
MGYG000002473_00932	1380763.BG53_10705	9.5e-46	165.0	COG1609@1|root,COG1609@2|Bacteria,1TQ7K@1239|Firmicutes,4HB9M@91061|Bacilli,26T5I@186822|Paenibacillaceae	91061|Bacilli	K	Transcriptional regulator	degA	-	-	-	-	-	-	-	-	-	-	-	LacI,Peripla_BP_1,Peripla_BP_3
MGYG000002473_00721	929713.NIASO_15625	7.39e-188	565.0	COG3387@1|root,COG3387@2|Bacteria,4PKWH@976|Bacteroidetes,1IQFT@117747|Sphingobacteriia	976|Bacteroidetes	G	Bacterial alpha-L-rhamnosidase C-terminal domain	-	-	3.2.1.40	ko:K05989	-	-	-	-	ko00000,ko01000	-	-	-	Bac_rhamnosid,Bac_rhamnosid6H,Bac_rhamnosid_C,Bac_rhamnosid_N
MGYG000002473_02288	240016.ABIZ01000001_gene4413	2.49e-17	92.8	2C9Z0@1|root,2ZBDC@2|Bacteria,46UX4@74201|Verrucomicrobia	74201|Verrucomicrobia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000002473_01025	1226325.HMPREF1548_01514	4.86e-44	157.0	COG1234@1|root,COG1234@2|Bacteria	2|Bacteria	L	tRNA 3'-trailer cleavage	-	-	-	-	-	-	-	-	-	-	-	-	Lactamase_B,Lactamase_B_2
